#1=α 2=ρ 3=ϕ 4=q0 5=δq 6=qh0 7=δqh 8=ρh
1.7 0.5 -0.0002656117544065483 2.3054952335258965 74.77682850185352 0.00036760583045578185 0.013373126676203079 0.006686563338101539
1.7 0.51 -0.00028613723235870747 2.3000016036255544 70.9639162780325 0.0004050737212448296 0.01409166873037359 0.007186751052490531
1.7 0.52 -0.0003081505888825626 2.2943655399154346 67.340981073763 0.00044631782856935056 0.014849798503895187 0.007721895222025497
1.7 0.53 -0.00033174873510251335 2.2885797893784368 63.91085500039769 0.0004915245247490794 0.015646794272956878 0.008292800964667146
1.7 0.54 -0.0003570332674851656 2.282642963463058 60.656580248722605 0.0005411588787260226 0.01648625748269182 0.008902579040653584
1.7 0.55 -0.0003841116373473827 2.2765531455501318 57.564613768825105 0.0005957275026157571 0.01737178336705116 0.009554480851878138
1.7 0.56 -0.0004130982940596384 2.2703017672007086 54.63715818876946 0.0006554633784611861 0.01830256245291959 0.010249434973634971
1.7 0.57 -0.0004441131329374626 2.2638870483167 51.85922351369822 0.0007209794538349145 0.01928297286857482 0.010991294535087646
1.7 0.58 -0.0004772832417769997 2.257303746051723 49.223918529324465 0.0007927810068321108 0.02031532697674737 0.011782889646513472
1.7 0.59 -0.000512742542471932 2.2505481816622988 46.72126643369355 0.0008715325740885957 0.02140352940601882 0.012628082349551104
1.7 0.6 -0.0005506331141748068 2.2436112613140358 44.34992170913489 0.0009576472441560025 0.022547954121732463 0.013528772473039477
1.7 0.61 -0.0005911041196176546 2.23648885993634 42.09962909956579 0.0010519133331746402 0.023753178386322505 0.014489438815656728
1.7 0.62 -0.0006343132015851662 2.229174536588885 39.96376379575759 0.0011550759157787432 0.02502266816285598 0.015514054260970708
1.7 0.63 -0.0006804262911518089 2.2216639450113185 37.93331591986088 0.0012681337918330543 0.02636205076594494 0.016608091982545314
1.7 0.64 -0.0007296196101886608 2.213942705297895 36.009587090487294 0.0013914985084952636 0.027770382300889296 0.01777304467256915
1.7 0.65 -0.000782077450665105 2.206006758265088 34.1823585905072 0.0015264082606193032 0.02925485663466507 0.019015656812532297
1.7 0.66 -0.0008379948140415684 2.197845282273297 32.4477780567845 0.001673772511359674 0.030818751233134444 0.020340375813868734
1.7 0.67 -0.0008975768568061752 2.189448520447593 30.800415279360266 0.0018347334978820835 0.03246709471057399 0.021752953456084575
1.7 0.68 -0.0009610397503513959 2.180804772569162 29.235892347649692 0.002010447617979738 0.03420453147483255 0.023259081402886135
