#1=α 2=ρ 3=Δ 4=ϕ 5=q0 6=δq 7=qh0 8=δqh 9=ρh
2.0 0.998209730428347 0.0256 -0.01271298707297893 1.014331270997496 0.6794580729844415 0.03879148748712696 1.4717611575466532 1.4691263083295567
2.0 8.619692593506708e-31 0.0256 -0.012735492449481745 2.105811952129199 7.500742774805228 0.037429242826678935 0.13332012975554505 1.1491785350192248e-31
2.025 0.9978893045353578 0.03073140810811126 -0.01562951447000198 1.0166570774831247 0.6547544056349305 0.048691045377161124 1.5272902196515608 1.52406657511175
2.025 -1.3544144467822522e-28 0.03073140810811126 -0.015712667878394676 2.0897130575891087 6.570691243080737 0.04840213694558529 0.15219098919813795 -2.0612967444003972e-29
1.975 0.9985070594208266 0.021136691977247664 -0.01024220817554311 1.0123073371324556 0.705964748668949 0.03068100322677371 1.416501322318764 1.4143865700142215
1.975 -9.036526417937105e-27 0.021136691977247664 -0.010174024759263323 2.1228732700192725 8.682803307507307 0.028158151592077903 0.11517017771615097 -1.0407383534905094e-27
2.05 0.9975223476343944 0.036628379182067794 -0.019065734993143506 1.0191877303705645 0.6317728157969777 0.06047272727248945 1.5828474650947204 1.5789257193284356
2.05 9.771646589180348e-31 0.036628379182067794 -0.019152780727381163 2.0750151821908362 5.785071919584065 0.06200172232280582 0.17285869802495005 1.689114106965659e-31
1.95 0.9987615917717084 0.017014282157400546 -0.008039827778362818 1.0103331230852974 0.7344373586801358 0.02374573197266834 1.3615865099742601 1.3599003100367772
1.95 3.3685105914339103e-29 0.017014282157400546 -0.007949125590818215 2.1409808766295075 10.18989182880902 0.020619286858823135 0.0981364686495282 3.305737340518576e-30
2.075 0.997110806772632 0.04330591898187096 -0.02305564420216978 1.0219631506057445 0.6103518468158575 0.07444564467076108 1.638399236795787 1.6336655848171115
2.075 2.225223905042479e-30 0.04330591898187096 -0.023089320081117 2.0613668672820453 5.131190490488618 0.07829229356013617 0.19488654764496474 4.336662045907755e-31
2.1 0.9966447186035504 0.050417248172066546 -0.027440301601523 1.0247309314368178 0.5902595041891564 0.09021145115489204 1.6941700945141187 1.6884856771135743
2.1 -1.601224344070896e-28 0.050417248172066546 -0.027475328129304005 2.048430571754081 4.586304153886397 0.09738577913186869 0.2180404889092687 -3.491317388346412e-29
1.925 0.9990071780703826 0.013366417072029822 -0.006154847330299227 1.00837384406871 0.7651311761105042 0.017693965157056957 1.3069654344545685 1.3056678505099901
1.925 -2.997193775833171e-31 0.013366417072029822 -0.006061987375854991 2.160412041849492 12.137957873945423 0.014663759782685163 0.08238618146356703 -2.469273502972653e-32
2.125 0.9961988394098128 0.05810269669224563 -0.032312015575264044 1.0276963567199104 0.571335169427707 0.10809328511671211 1.7502860903901234 1.7436329718817796
2.125 -2.2905117688228345e-30 0.05810269669224563 -0.03236215506305859 2.03623913390407 4.127262847732396 0.11953759764420321 0.24229132887657512 -5.549711402755192e-31
2.15 0.9956863712456046 0.06661563355105429 -0.037832829247990474 1.0308440403231505 0.5536309567550138 0.12871699512893534 1.8062573774076511 1.7984658536466265
2.15 -1.2482736178331375e-27 0.06661563355105429 -0.03783440868284482 2.0248488809456586 3.7348064097999014 0.1451631639407273 0.26775149506439255 -3.3422712742426076e-28
2.175 0.9951126764397518 0.07561720698209595 -0.043837656917849105 1.0339591278442224 0.5369219904152616 0.15162028930331603 1.8624679522375096 1.853365468734332
2.175 8.456736545906043e-30 0.07561720698209595 -0.043836324268073656 2.014084575287945 3.395188028237168 0.17472298543735654 0.29453449755453304 2.4908006494994936e-30
1.9 0.9992440249667465 0.0102129918894192 -0.004579231462618814 1.0066760326496353 0.7980814666398169 0.012854410136306576 1.2530049146615645 1.2520576742295364
1.9 -1.502623553748364e-29 0.0102129918894192 -0.004492042783167088 2.1813295663921113 14.725116892713187 0.0100601344252481 0.06791117566576711 -1.020449321181244e-30
2.2 0.994531070841463 0.08525964436551174 -0.05043240523458173 1.0372523653805175 0.5211267395717705 0.1773383236017902 1.9189189962152733 1.908424564164001
2.2 -5.088098768335267e-28 0.08525964436551174 -0.05042739334008861 2.0039390567213307 3.0996012910489945 0.20858008663874858 0.3226221394628375 -1.6415333104385523e-28
2.225 0.9939532465932408 0.09557457408108247 -0.05765793858505486 1.0407534343362486 0.5062722576332692 0.20603975067901117 1.9752217999754091 1.963278120827303
2.225 -3.4614754247845056e-30 0.09557457408108247 -0.05764079488098767 1.9942768747295545 2.845633847748743 0.24627902031721213 0.35141555572623184 -1.2164163100333415e-30
2.25 0.9932639104088381 0.10649402656073634 -0.06549661002673694 1.0441751321693415 0.49218978983111317 0.2377781167837671 2.031736579385634 2.0180506197612518
2.25 2.1834165433679883e-31 0.10649402656073634 -0.0654818128258397 1.9850898692510435 2.623126000849629 0.2884973766876928 0.3812245388426254 8.323719648468205e-32
1.875 0.9994158339840864 0.007597725376420185 -0.003314332722204905 1.0051319163377075 0.8339151562090112 0.009059211780211518 1.1991627596097576 1.1984622494780444
1.875 -6.334286675384098e-29 0.007597725376420185 -0.00321987636208447 2.203992279841737 18.25630094820191 0.006612786423565435 0.05477560886168955 -3.469644093486512e-30
2.275 0.9926047459724134 0.11809932875877856 -0.07401937532598218 1.0478197190078842 0.4788088302587375 0.2728609936252946 2.0885162027183637 2.073071094858531
2.275 3.1793543895962333e-31 0.11809932875877856 -0.07399726684324803 1.97637360568573 2.426580230204256 0.3356446547441492 0.4121025909437272 1.31022018148092e-31
