#1=α 2=ρ 3=Δ 4=ϕ 5=q0 6=δq 7=qh0 8=δqh 9=ρh
2.0 0.04 0.1 -0.027400609978189105 2.1522536697431445 6.412636938259378 0.05229945639425889 0.15594208897649464 0.006237683559059785
2.0 0.1 0.01 -0.010229057171383255 2.088293509126687 7.766280910799703 0.034457256110802414 0.1287617601636597 0.01287617601636597
2.0 0.07 0.001 -0.008701221701369666 2.0828194570680427 8.094906247455228 0.03171064408340835 0.12353447580870588 0.008647413306609413
2.0 0.06 0.02 -0.011839959710506276 2.0996033054208434 7.594729645982194 0.03633852757985449 0.13167025642960517 0.00790021538577631
2.0 0.04 0.05 -0.017315205862316912 2.12194680571035 7.053805216427047 0.042614752896099 0.141767453072163 0.0056706981228865205
2.0 0.07 0.002 -0.008858923347725756 2.083771988753473 8.061434096180463 0.03198918177073929 0.12404740745493456 0.00868331852184542
2.0 0.05 0.1 -0.027418108435618593 2.1518413064088517 6.40482728189616 0.052395083855366634 0.1561322352636414 0.00780661176318207
2.0 0.05 0.05 -0.017330294778041294 2.121511024734501 7.045088172082548 0.042693361484518376 0.1419428650960939 0.007097143254804696
2.0 0.06 0.1 -0.02743951714896209 2.151334582668387 6.395536210701686 0.05250814619813305 0.15635905529339267 0.009381543317603559
2.0 0.07 0.02 -0.01185938596651187 2.098954595445324 7.580069247268194 0.03644531045104887 0.13192491616885865 0.009234744131820107
2.0 0.01 0.005 -0.009271584249838566 2.0892096857636577 7.993925973289543 0.032691962958320574 0.12509497878030695 0.0012509497878030696
2.0 0.08 0.001 -0.008721604588032034 2.082051850595639 8.076410648390201 0.03182128590355418 0.12381737922146407 0.009905390337717127
2.0 0.11 0.01 -0.010259196501196138 2.0872215441361006 7.74239566606164 0.034617270047439815 0.1291589894305511 0.01420748883736062
2.0 0.02 0.005 -0.009275741334379278 2.089023997895905 7.994714598834848 0.03267791467556193 0.12508263899073274 0.0025016527798146547
2.0 0.03 0.005 -0.009282663014305498 2.0887248359079975 7.994659098820367 0.03266586479061787 0.1250835073314824 0.003752505219944472
2.0 0.08 0.002 -0.008879427027048692 2.0830053363007357 8.043025881981675 0.032100739198446554 0.12433131692889886 0.00994650535431191
2.0 0.06 0.05 -0.01734875822819021 2.1209819802821044 7.033990804950717 0.04279525516987104 0.14216680512237412 0.008530008307342447
2.0 0.04 0.005 -0.009292348323351851 2.0883131412011005 7.993612611791731 0.03265702027962859 0.1250998826894433 0.005003995307577732
2.0 0.07 0.1 -0.02746485407836685 2.150741395925803 6.383943994230874 0.052652558878003144 0.15664297821279338 0.010965008474895538
2.0 0.05 0.005 -0.009304814065540207 2.0877452806839085 7.991363831812591 0.032652417400780426 0.1251350859560578 0.00625675429780289
2.0 0.08 0.02 -0.011881832735196746 2.098201500114627 7.563656626116513 0.03656426610466119 0.13221118427654488 0.01057689474212359
2.0 0.09 0.001 -0.008744744084371092 2.0811773828584275 8.055964784109355 0.031943345246117874 0.12413162505036414 0.011171846254532772
2.0 0.06 0.005 -0.009320032982655851 2.0871955187905025 7.982657024207913 0.0326977955815953 0.12527157273166525 0.007516294363899915
2.0 0.08 0.1 -0.027494131434469576 2.1500534043696162 6.370882317220883 0.05281477114137079 0.15696412995998044 0.012557130396798436
2.0 0.07 0.05 -0.017370604853978566 2.120352730002303 7.021289581719365 0.04291109086227482 0.14242397900858567 0.009969678530600998
2.0 0.12 0.01 -0.01029228401169982 2.0860453566758617 7.716335323371379 0.0347931081065406 0.12959519747297418 0.015551423696756902
2.0 0.09 0.002 -0.008902703475970886 2.082131796244129 8.022696244068722 0.032223648508643704 0.12464637443294854 0.011218173698965368
2.0 0.09 0.02 -0.011907315253883194 2.097345663924326 7.545258245022471 0.036697906710672495 0.13253356843812333 0.011928021159431099
2.0 0.09 0.1 -0.02752736905747913 2.1492722215260924 6.356174571783186 0.05299805936806066 0.1573273340287531 0.014159460062587777
2.0 0.07 0.005 -0.009338075641607047 2.0865319281174433 7.967197156811477 0.03279388064723063 0.12551465469196527 0.00878602582843757
2.0 0.08 0.05 -0.01739585240998648 2.1196312064601206 7.006061054824531 0.043052579759516554 0.14273355487123218 0.011418684389698576
2.0 0.1 0.002 -0.008928768726238268 2.0811531010604445 8.000171498159723 0.03236037975280413 0.12499732039869765 0.012499732039869767
2.0 0.1 0.001 -0.008703685448159526 2.080251570269048 8.032959456882956 0.03208277847899519 0.12448712151076036 0.012448712151076036
2.0 0.13 0.01 -0.010328341212214903 2.0847649970709163 7.68804853897127 0.03498565012946249 0.13007201956789533 0.016909362543826394
2.0 0.1 0.1 -0.027564591955424878 2.1484043537008892 6.339136460920436 0.053214456185442155 0.1577501929742022 0.01577501929742022
2.0 0.08 0.005 -0.009358924503429872 2.085762370605217 7.949750491567039 0.032902067119400746 0.1257901114079974 0.010063208912639792
2.0 0.1 0.02 -0.011935852914376238 2.096393798653494 7.5240146624285895 0.03685505102330712 0.13290776864026227 0.013290776864026228
2.0 0.09 0.05 -0.017424513127374835 2.1188087658444767 6.989268997616865 0.043208063508163225 0.14307647914838742 0.012876883123354867
2.0 0.11 0.002 -0.008957637484842962 2.0800666534379753 7.9761623155644035 0.03250540374428011 0.12537357697054824 0.013791093466760307
2.0 0.11 0.001 -0.008799358791279077 2.0791151571063367 8.008085164634757 0.03223192879524847 0.12487379684923834 0.013736117653416218
2.0 0.11 0.1 -0.027605819825652217 2.1474406637907815 6.32064486953096 0.05344959155880977 0.15821170476141744 0.017403287523755917
2.0 0.09 0.005 -0.009382596335646337 2.0848953254790863 7.929315070221668 0.03303104760920995 0.12611429753314676 0.011350286777983208
2.0 0.14 0.01 -0.010367391227575046 2.083379842224885 7.6575627087698255 0.03519510313869589 0.13058985450484784 0.0182825796306787
2.0 0.11 0.02 -0.011967457748095489 2.095330997730343 7.501719561843912 0.03701824108351871 0.1333027703523219 0.01466330473875541
2.0 0.1 0.05 -0.01745660487656736 2.1178836325912433 6.971025533349847 0.04337637798179547 0.1434509162555687 0.01434509162555687
2.0 0.12 0.1 -0.027651076587613677 2.146375596458372 6.301292115007754 0.05369365933955766 0.15869761022795711 0.019043713227354854
2.0 0.1 0.005 -0.009409103064633717 2.0839211653338805 7.906977166258942 0.03317197080720928 0.12647058148431883 0.012647058148431884
2.0 0.12 0.001 -0.008811931915456483 2.078100189255212 7.9803341728459145 0.03240443464346213 0.1253080357715627 0.015036964292587522
2.0 0.12 0.002 -0.008989344083087408 2.0788941755396113 7.945983217802009 0.032697788098206504 0.12584974981568317 0.01510196997788198
2.0 0.11 0.05 -0.01749215264325127 2.1168663100483833 6.950261774072237 0.04357140449362247 0.1438794728179121 0.01582674200997033
2.0 0.12 0.02 -0.012002157302169775 2.0941738152850053 7.476308951683325 0.03720845405681972 0.13375584214919922 0.016050701057903904
2.0 0.15 0.01 -0.010409459055418846 2.0818892182782065 7.624905429724073 0.0354217090551331 0.1311491675820283 0.019672375137304243
2.0 0.13 0.1 -0.027700397630959744 2.1452203751305503 6.279865601432767 0.05396799755107616 0.15923907667257203 0.020701079967434366
2.0 0.13 0.001 -0.008865210176431743 2.076633798547562 7.950778110814101 0.032583057038538574 0.12577385333391067 0.01635060093340839
2.0 0.11 0.005 -0.009438462904975992 2.0828388609802038 7.882418737867232 0.03332777568074702 0.126864612659562 0.01395510739255182
2.0 0.13 0.002 -0.009023881443084275 2.0775951449288703 7.917773339538828 0.03287059894873663 0.12629813422497457 0.016418757449246695
2.0 0.12 0.05 -0.017531176242031266 2.115748885362253 6.927694374500322 0.043784533227821415 0.14434816923807028 0.017321780308568433
2.0 0.14 0.1 -0.027754791041709165 2.1440018754145087 6.256054675514779 0.05427947080429506 0.15984515031715496 0.022378321044401697
2.0 0.13 0.02 -0.012039969153682717 2.09291109812662 7.449098022798669 0.037412979198008005 0.13424444099666905 0.017451777329566976
2.0 0.16 0.01 -0.01045457139191136 2.0802919903324657 7.5901577586409275 0.03566523768677587 0.13174956724207235 0.021079930758731574
2.0 0.12 0.005 -0.009470694550715197 2.0816577875558226 7.855774082501545 0.03349782934515999 0.12729490302266508 0.015275388362719808
2.0 0.14 0.001 -0.008902900380461043 2.075412957851689 7.919430275958555 0.032779001488650886 0.126271709599585 0.017678039343941902
2.0 0.15 0.1 -0.02781136071533702 2.1426320854110883 6.231451180457939 0.05459897940116547 0.16047626323961856 0.024071439485942783
2.0 0.13 0.05 -0.01757370097823388 2.114532030690115 6.9032577064683 0.04401707029545421 0.14485914368559755 0.01883168867912768
2.0 0.14 0.002 -0.009061290313381154 2.076193165512367 7.886348978845782 0.03306712262925461 0.12680138840956495 0.017752194377339096
2.0 0.14 0.02 -0.012080915659436892 2.0915380808534954 7.420606992719106 0.037626854150812745 0.13475986546399402 0.018866381164959162
2.0 0.17 0.01 -0.010502754929243519 2.0785823948892324 7.553950266734028 0.03592016545634742 0.13238106747985684 0.022504781471575665
2.0 0.13 0.005 -0.009505819855112396 2.0803692570027725 7.826714602077851 0.03368519046892035 0.12776753092983845 0.016609779020878998
2.0 0.16 0.1 -0.02787307263342642 2.1411934150588077 6.204950522617663 0.054948464504609176 0.16116163962225005 0.025785862339560008
2.0 0.15 0.001 -0.008942470365918831 2.0737315950165027 7.8838636731436 0.033001713180597164 0.12684136122324163 0.019026204183486245
2.0 0.14 0.05 -0.017619754303559276 2.1132156620026437 6.876910943584353 0.044270064838688825 0.14541412680833474 0.020357977753166865
2.0 0.15 0.02 -0.01212502992242448 2.0900704446834846 7.388898997789951 0.03787048397823841 0.13533816070555355 0.020300724105833032
2.0 0.15 0.002 -0.009101591995004238 2.074686517523358 7.852408834786768 0.033282123210945654 0.12734945684054605 0.019102418526081907
2.0 0.18 0.01 -0.010554044160843823 2.0767688772062933 7.515183233325677 0.03619762803665011 0.13306395452416298 0.023951511814349336
2.0 0.14 0.005 -0.009543860989045166 2.0789751598553874 7.795407828184192 0.033888924653732125 0.12828065215324763 0.01795929130145467
2.0 0.16 0.001 -0.00893385240512759 2.072169150426111 7.851177311130541 0.033201434804374735 0.12736943268142847 0.020379109229028556
2.0 0.17 0.1 -0.027938990420568632 2.1396583912349394 6.177155442757314 0.0553173623994795 0.16188681169946845 0.027520757988909638
2.0 0.15 0.05 -0.017669364725670628 2.1117972427338536 6.8489034423653585 0.04454081344071588 0.1460087747498798 0.02190131621248197
2.0 0.16 0.02 -0.01217233218790495 2.0884892461146967 7.356180850714962 0.038121599670225534 0.13594010537449036 0.021750416859918457
2.0 0.15 0.005 -0.009584842393000281 2.0774748708707076 7.761875694721894 0.03410932686929918 0.12883483829559444 0.019325225744339165
2.0 0.18 0.1 -0.028009162783315583 2.138031801862895 6.147458156378805 0.05571745469159235 0.16266885834145403 0.029280394501461724
2.0 0.17 0.001 -0.009031333851025114 2.070389842742104 7.809218589914505 0.03347588479289529 0.12805378521373262 0.021769143486334547
2.0 0.19 0.01 -0.010608469080901767 2.0748502081941855 7.47463296917801 0.0364908747374352 0.13378583324740434 0.025419308317006825
2.0 0.16 0.002 -0.00914481269645176 2.073075236056581 7.81590564916518 0.033516606572807944 0.12794422615718376 0.0204710761851494
2.0 0.16 0.05 -0.017722565387204764 2.110278972875944 6.818925034756787 0.04483398621771652 0.14665068099486261 0.02346410895917802
2.0 0.17 0.02 -0.012222857569275103 2.086805566057325 7.321069723551736 0.038395148876986626 0.13659206069066926 0.023220650317413775
2.0 0.19 0.1 -0.028083635352830982 2.136309528013016 6.116069588618647 0.0561458664193641 0.16350369882332494 0.03106570277643174
2.0 0.16 0.005 -0.009628789132231252 2.0758648084873235 7.726502662020058 0.03434345947414383 0.12942466258577004 0.020707946013723208
2.0 0.18 0.001 -0.009080190111511344 2.0685599757504227 7.768098989345222 0.033742899158415884 0.12873162421998058 0.023171692359596503
2.0 0.17 0.05 -0.01777938822532807 2.1086557455731127 6.787495107322396 0.045143296945166625 0.14732975629274386 0.02504605856976646
2.0 0.17 0.002 -0.009190978182593013 2.0713536627427502 7.777478304394863 0.03376560968011935 0.12857637924041837 0.021857984470871124
2.0 0.2 0.01 -0.010666068143616342 2.0728179960652344 7.431141087410229 0.036811836377946744 0.1345688351542929 0.026913767030858585
2.0 0.2 0.1 -0.028162457192501766 2.1344904184321294 6.083059963692992 0.05660231356004851 0.16439094895801515 0.03287818979160303
2.0 0.18 0.02 -0.012276636448729616 2.085014688566395 7.284055723447429 0.03868663120126592 0.13728615457745508 0.024711507823941912
2.0 0.17 0.005 -0.009675732390865277 2.074151713167562 7.688380907167958 0.03460007036699149 0.13006639656311636 0.022111287415729784
2.0 0.19 0.001 -0.009132026698392498 2.0665729692595156 7.727513404530997 0.03400303465968098 0.12940773411194006 0.024587469481268612
2.0 0.18 0.05 -0.017839872094450843 2.106932117947132 6.754055413222625 0.045476907472511485 0.14805919389442213 0.026650654900995982
2.0 0.18 0.002 -0.009240119138770958 2.069523823899875 7.73679532588063 0.03403260648104052 0.1292524821814614 0.023265446792663052
2.0 0.21 0.1 -0.02824567721305274 2.132566872153058 6.049087455542517 0.05707525544679652 0.16531419116510596 0.03471598014467225
2.0 0.21 0.01 -0.010726870465088967 2.0706703050482043 7.38682915545508 0.03714031351078044 0.1353760834256621 0.02842897751938904
2.0 0.19 0.02 -0.012328243504310804 2.0832026765186935 7.2464606043442314 0.03898412178846025 0.13799840426932053 0.026219696811170902
2.0 0.18 0.005 -0.009725699446044983 2.07231706285483 7.64831477099624 0.034872333071630034 0.13074775685124473 0.023534596233224053
2.0 0.19 0.05 -0.01790403509110247 2.105107787229401 6.718581170575445 0.045836029294504206 0.1488409493926454 0.028279780384602625
2.0 0.2 0.001 -0.009186901553817794 2.064561622362018 7.680390334303006 0.03432135420491597 0.13020171585989448 0.026040343171978897
2.0 0.22 0.1 -0.0283333558505639 2.130548644496959 6.013192141468119 0.05758396536669434 0.16630102223140508 0.03658622489090912
2.0 0.19 0.002 -0.009292264245901793 2.067578269977439 7.694699237621946 0.03431064502596497 0.12995959544600094 0.02469232313474018
2.0 0.2 0.02 -0.012394095063802762 2.081113713880736 7.203992148869797 0.03932970953461575 0.13881192251949992 0.027762384503899985
2.0 0.19 0.005 -0.009778720093849419 2.070389190502554 7.606965252651537 0.03515522051702916 0.1314584682309983 0.024977108963889678
2.0 0.2 0.05 -0.01797197666217229 2.1031731237963593 6.682048094262158 0.04620792614855446 0.1496547145266277 0.029930942905325542
2.0 0.23 0.1 -0.02842554650906426 2.128425120003309 5.97629477010714 0.05811175261859097 0.16732775715848308 0.03848538414645111
2.0 0.21 0.001 -0.009244826314707216 2.062392740203802 7.633333141447855 0.03463823263300367 0.1310043701053934 0.027510917722132613
2.0 0.2 0.002 -0.009347450683757863 2.0655259735596676 7.649984176284802 0.034611206852451004 0.13071922463578844 0.02614384492715769
2.0 0.22 0.01 -0.010790921117535629 2.068420308447395 7.339743466387649 0.037496779907913086 0.1362445437745201 0.029973799630394423
2.0 0.2 0.005 -0.009834832112742414 2.0683434485806136 7.563047776113768 0.03546074095124926 0.13222182770790913 0.02644436554158183
2.0 0.21 0.02 -0.012457847499688368 2.078997092710819 7.161373269817013 0.039678005154192536 0.13963802225121996 0.029323984672756192
2.0 0.24 0.1 -0.028522315430763473 2.126205431054129 5.937506729177232 0.058677206649001085 0.1684208617543026 0.04042100682103262
2.0 0.21 0.05 -0.01804207081001946 2.1011481621032586 6.644021311483387 0.04659962548932986 0.1505112571315238 0.03160736399762
2.0 0.22 0.001 -0.009305844583850115 2.060114758185846 7.584427936014703 0.03497202205051959 0.1318491003456561 0.029006802076044346
2.0 0.21 0.002 -0.009405712097638241 2.063362975381992 7.603088010561148 0.03493114703031355 0.1315255062957235 0.02762035632210193
2.0 0.23 0.01 -0.010858251805995894 2.0660411726814787 7.292300017030684 0.037856911103177376 0.13713094602040043 0.0315401175846921
2.0 0.25 0.1 -0.02862372182564263 2.1238786705171186 5.897783267055649 0.059262526164816295 0.16955523028217856 0.04238880757054464
2.0 0.21 0.005 -0.009894069606617484 2.066187013359545 7.517000482817618 0.03578579615090352 0.133031786054265 0.027936675071395647
2.0 0.22 0.02 -0.012525002033936833 2.0767690345945153 7.117094528298729 0.040044373523245275 0.14050677506443632 0.03091149051417599
2.0 0.22 0.05 -0.018119230628386968 2.0989957453272834 6.603019872087701 0.04703215119713821 0.1514458564977522 0.03331808842950548
2.0 0.23 0.001 -0.00936999452506071 2.0577175424409813 7.533763094177038 0.03532245944627947 0.1327357905338058 0.030529231822775334
2.0 0.26 0.1 -0.028729837331802732 2.1214508253638007 5.856394972521295 0.05988363830786954 0.17075351042613848 0.04439591271079601
2.0 0.22 0.002 -0.009467084973882572 2.0610872952795156 7.554163435491036 0.035269845071035234 0.13237733185673364 0.029123013008481403
2.0 0.24 0.01 -0.010928913187211897 2.063556575686157 7.24206981541235 0.03824688877616046 0.13808207121558408 0.03313969709174018
2.0 0.22 0.005 -0.0099564670121568 2.0639118660573303 7.46967544676857 0.0361228405920854 0.13387462509266135 0.029452417520385497
2.0 0.23 0.05 -0.018198627854560973 2.096743369615167 6.5614380402815184 0.04747331360224211 0.1524056150284237 0.035053291456537454
2.0 0.23 0.02 -0.012595601907072512 2.0744309462971335 7.070834897227141 0.04043328255427471 0.14142601468352123 0.032527983377209885
2.0 0.24 0.001 -0.00943731861404526 2.0552081715601296 7.480711008242272 0.03569641078701458 0.1336771329487527 0.032082511907700645
2.0 0.27 0.1 -0.028840729960538436 2.1189177899566345 5.813830274483644 0.06053195595280802 0.1720036452369286 0.04644098421397073
2.0 0.23 0.002 -0.009531605435181861 2.0586922664800245 7.503997641576252 0.035620546214673865 0.13326230201079128 0.030650329462481998
2.0 0.23 0.005 -0.010022067536077567 2.061527124531581 7.419888138835444 0.03648418146726584 0.13477292127438334 0.03099777189310817
2.0 0.25 0.01 -0.011002946468766012 2.060959061600676 7.189843211021181 0.03865951635388942 0.13908509137822617 0.03477127284455654
2.0 0.24 0.05 -0.018281968144988864 2.0943871377492007 6.517781979190413 0.04794529393275003 0.15342642684163732 0.03682234244199296
2.0 0.24 0.02 -0.012669691631633812 2.0719823495823926 7.0225497951754825 0.04084625579004114 0.14239842068289835 0.0341756209638956
2.0 0.25 0.001 -0.009507854915221686 2.0525757420201387 7.426451353120401 0.03608335613996809 0.13465381410999563 0.03366345352749891
