#1=α 2=λ 3=Δ 4=ϕ 5=Σ 6=E 7=ρ 8=q0 9=q1 10=δq 11=ρh 12=qh0 13=qh1 14=δqh 15=m 
3.0 0.001 0.0 -0.0004999432798774083 -1.5335076731823495e-8 0.0004999426957779661 0.9995653931692201 0.9991310656735339 0.9991310656741197 0.24990679106975833 3.9997528231583335 1.4483117058726559e-6 1.4483210834487611e-6 4.000491899117094 26.25422252393328
3.0 0.001 0.0 -0.0004999469722409569 0.0 0.0004999469722409569 0.9995604620423005 0.9991212103398646 0.9991212103400597 0.2499064615057094 3.9997383661044785 1.4901012031746393e-6 1.4901043279748105e-6 4.000497176082997 26.25422252393328
3.0 0.00115 0.0 -0.0005749099243133941 -1.5297710561195958e-8 0.0005749093416371961 0.9995187683769726 0.9990378767459662 0.9990378767459879 0.24989382675276772 3.999773749367446 1.7360045577971898e-6 1.7360049042819908e-6 4.0005494937187684 26.25422252393328
3.0 0.0013224999999999999 0.0 -0.0006611638071807508 0.0 0.0006611638071807508 0.9994123316351049 0.998825176992424 0.9988251769924241 0.24987610561455043 3.9996314540644784 2.696561763957564e-6 2.6965617657750164e-6 4.0006607930426865 26.25422252393328
3.0 0.0015208749999999999 0.0 -0.000760287471918114 -1.4946469958908047e-11 0.0007602874713488162 0.9993564396443854 0.9987134872096862 0.9987134872096866 0.2498595875283307 3.999672174000726 3.1035009313328358e-6 3.1035009366419112e-6 4.00072698705823 26.25422252393328
3.0 0.0017490062499999994 0.0 -0.0008743610003702353 -1.4946469958908047e-11 0.0008743609998009376 0.999216639561532 0.998434193772154 0.9984341937721541 0.24983617744993936 3.9994873831342375 4.8222460861406725e-6 4.822246087869152e-6 4.000873873298228 26.25422252393328
3.0 0.0020113571874999995 0.0 -0.0010054204309541334 -1.530518379190568e-8 0.0010054198479932867 0.9991460208156803 0.9982931142009758 0.9982931142009759 0.24981434728038465 3.999554195717395 5.50079355100441e-6 5.500793551564723e-6 4.000961293849297 26.25422252393328
3.0 0.002313060765624999 0.0 -0.0011562815233364943 1.5290237324793258e-8 0.0011562821057280433 0.9989643584917741 0.9979303159843367 0.997930315984337 0.2497834056755721 3.999322356062533 8.437773536683039e-6 8.437773542063317e-6 4.0011554534672635 26.25422252393328
3.0 0.0026600198804687487 0.0 -0.0013295573873696764 1.530518379190568e-8 0.001329557970330523 0.9988714408222253 0.9977447542042084 0.9977447542042085 0.2497545504245231 3.999412379571708 9.601467192525594e-6 9.601467193128268e-6 4.001271032827966 26.25422252393328
3.0 0.003059022862539061 0.0 -0.0015290854309088513 0.0 0.0015290854309088513 0.998626908969194 0.9972566327231653 0.9972566327231657 0.24971365649935962 3.9990880874059016 1.4904615942272961e-5 1.4904615947599401e-5 4.001527726691399 26.25422252393328
3.0 0.0035178762919199197 0.0 -0.0017581498129564616 -1.530518379190568e-8 0.0017581492299956149 0.9985066749287306 0.9970166311511678 0.9970166311511688 0.24967552555081696 3.9992172750048725 1.6864130454947415e-5 1.686413045554503e-5 4.001680461806657 26.25422252393328
3.0 0.004045557735707907 0.0 -0.0020220553790874837 0.0 0.0020220553790874837 0.9981780390750113 0.9963610369707255 0.9963610369707259 0.2496214952025113 3.998766365313136 2.6308066983099002e-5 2.630806698839569e-5 4.002019701943658 26.25422252393328
3.0 0.004652391396064093 0.0 -0.0023252388545305213 -1.530518379190568e-8 0.0023252382715696746 0.9979051917935123 0.995816938549882 0.9958169385498823 0.24956485292825548 3.9985806498175522 3.4788863743374194e-5 3.478886374872097e-5 4.002322101472476 26.25422252393328
3.0 0.005350250105473706 0.0 -0.002673873353325945 1.530518379190568e-8 0.002673873936286792 0.9975883573385588 0.995185409179456 0.9951854091794561 0.2494997526835938 3.998354092974375 4.6240580858250406e-5 4.624058086006181e-5 4.002669754900932 26.25422252393328
3.0 0.006152787621294761 0.0 -0.0030746855780975093 -1.530518379190568e-8 0.0030746849951366626 0.9972380919597612 0.9944875810546282 0.9944875810546283 0.24942494793818426 3.998148943011573 6.058236892142601e-5 6.058236892316626e-5 4.003069257993209 26.25422252393328
3.0 0.0070757057644889754 0.0 -0.003535622235773777 -1.530518379190568e-8 0.00353562165281293 0.9968197774217626 0.9936546757615952 0.9936546757615953 0.2493389900630767 3.997849582889522 8.053897220745611e-5 8.053897220804784e-5 4.003528491144431 26.25422252393328
