#1=α 2=ρ 3=Δ 4=ϕ 5=Σ 6=E 7=q0 8=q1 9=δq 10=qh0 11=qh1 12=δqh 13=ρh 14=m
2.0 0.0 0.01 -0.06311053821397616 -3.119890598191927e-5 0.0631038424507733 0.47284824492206384 1.9568920177595532 0.7894697188091824 0.007966130115912273 0.25195726181142303 1.2666730289647787 0.0 4.6594996024618975
2.0 0.01 0.01 -0.06310841109459259 -1.9747362670677292e-5 0.06310417300802633 0.47322142442642645 1.9567228404343706 0.7894521282613449 0.007976000371702034 0.2519639855727522 1.2667012529339248 0.001298393328841523 4.6594996024618975
2.0 0.02 0.01 -0.06310203021358968 9.221671897532524e-6 0.06310400932565842 0.47424448839707994 1.95621389775998 0.7894556845624354 0.008003010777841836 0.2519639333229836 1.2666955467605001 0.0025991945029034814 4.6594996024618975
2.0 0.03 0.01 -0.06309139843609368 5.5695632224122916e-5 0.06310335157204731 0.47585636972674605 1.9553666477501528 0.7894676997922527 0.008045709058188332 0.2519609423416336 1.2666762684061028 0.00390460007662466 4.6594996024618975
2.0 0.04 0.01 -0.06307653355721304 -6.471327822170163e-5 0.06306266197882382 0.47899334997500953 1.9542221987636619 0.7891643965721973 0.008112072211696098 0.2517919310561188 1.2671630959830231 0.005214200330197239 4.665170495087519
2.0 0.05 0.01 -0.0630574379709739 1.935842567914101e-5 0.06306158753543238 0.4817797073409882 1.9527044244465652 0.7891649359365189 0.008186926745321357 0.25179327233521226 1.2671622299250775 0.006534854703151238 4.665170495087519
2.0 0.06 0.01 -0.06303412715863366 -6.39482015853194e-5 0.06302043617722994 0.4860563508578572 1.950894045379655 0.788871474403892 0.008285322269859995 0.2516227673225093 1.2676336164337094 0.00786279475634439 4.670826706984562
2.0 0.07 0.01 -0.06300661260840179 5.579986239273813e-5 0.06301855907224925 0.48992103105421825 1.948714881879115 0.7888820714017193 0.008391313840165306 0.2516209749618072 1.2676165883997812 0.009207309391140811 4.670826706984562
2.0 0.08 0.01 -0.06297491971723368 1.6073328541893896e-5 0.06297835663072851 0.4956269112989219 1.9462569613272733 0.7884827063850604 0.008531380911089872 0.2514825506151502 1.268258633831909 0.010564391427238338 4.67667532687924
2.0 0.09 0.01 -0.06293904370765568 -8.054009128946816e-5 0.06292184835628362 0.500879503040465 1.9434750218311891 0.7882049801589521 0.008656161986576155 0.2512287792491564 1.268705508303608 0.011928308956841056 4.683829341242603
2.0 0.1 0.01 -0.06289900572141893 8.747702722833763e-5 0.06291768211222123 0.5059205202938665 1.9403255904255006 0.7882394916225359 0.008800521327417076 0.25121680125221435 1.2686499606123138 0.013321347590566801 4.683829341242603
2.0 0.11 0.01 -0.06285483260051505 2.1656257017261664e-5 0.06285944804631603 0.5131050301203435 1.9369321938412414 0.7876795626294015 0.008982149835396884 0.25101638568098184 1.269551791672543 0.014728610921242294 4.692126817450294
2.0 0.12 0.01 -0.06280650620963729 1.6942011588698396e-5 0.06281011224068783 0.5194649497287434 1.9331964892697893 0.787417533672714 0.009150214648416477 0.2508097251966804 1.2699742604609616 0.016151887155003486 4.6982434014703385
2.0 0.13 0.01 -0.06275404044030358 1.8076837783759536e-5 0.06275788267308714 0.5261852058235965 1.9291547993469975 0.7871019884951864 0.009331164283398584 0.25060189339774835 1.2704833866724707 0.017596680140947524 4.704774229480577
2.0 0.14 0.01 -0.06269743538412065 1.927336585613748e-5 0.0627015258235788 0.5332152816717044 1.9248095057732355 0.7867616690116925 0.009523786775445584 0.25037857685164316 1.2710329435039338 0.019063994279871228 4.7118081207001925
2.0 0.15 0.01 -0.0626366861215214 2.0256824540450234e-5 0.06264097850974536 0.5403668408543733 1.920159442372515 0.7864122701526095 0.009723254593134228 0.25013756091376155 1.2715976567938603 0.020553606411871005 4.719243340431394
2.0 0.16 0.01 -0.06257178339919872 2.1332736966762604e-5 0.06257629624744515 0.5476737488566721 1.9152078048035257 0.7860479451916094 0.00993097471388428 0.24988007374500798 1.2721870289429202 0.022067340310691037 4.7271115273242845
2.0 0.17 0.01 -0.06250271256924095 2.2403683927174262e-5 0.0625074436641599 0.5551082318876635 1.9099561973100123 0.7856695694431339 0.010146582559356895 0.24960588272774478 1.2727997098179304 0.02360641290452589 4.735412058086616
2.0 0.18 0.01 -0.062429453411752045 2.3466376743801397e-5 0.062434399801573656 0.562643159168441 1.9044058799155426 0.7852778842380523 0.010369716877787125 0.24931489292844383 1.273434563829965 0.025172040250771473 4.7441422108048785
2.0 0.19 0.01 -0.06235197979960516 2.4527142165039053e-5 0.06235713982306643 0.5702542071116782 1.8985578075084537 0.7848735190004295 0.01060007758714256 0.2490070039101585 1.2740906347223229 0.026765465214919407 4.753300512900047
2.0 0.2 0.01 -0.06227025943758657 2.5589843460630945e-5 0.062275632196343744 0.5779197336983547 1.8924126811988287 0.7844569920039715 0.010837424262724929 0.24868209311540942 1.2747671449079732 0.028387967215364674 4.762887115762082
2.0 0.21 0.01 -0.06218425353964957 2.6658778573557795e-5 0.062189838982505116 0.5856200265271702 1.885970936968556 0.7840287813442544 0.011081557034044865 0.24834000884800927 1.2754633806751996 0.03004086451017985 4.772903288605998
2.0 0.22 0.01 -0.06209391661488234 2.7737083489499614e-5 0.062099715212703126 0.5934095888353624 1.879236238213855 0.7835813593833558 0.011334670050669123 0.24798150266563923 1.2761916653899934 0.031726710839632404 4.783412188040653
2.0 0.23 0.01 -0.061999195889242464 2.867275762510934e-5 0.06200517647720326 0.6011306282538409 1.8722016025557964 0.7831309210158857 0.011592076410951396 0.24760424734374376 1.2769257006258776 0.0334446616136946 4.79430414084296
