#1=α 2=ρ 3=ϕ 4=q0 5=δq 6=qh0 7=δqh 8=ρh 
1.7 0.41 -0.0006428988572747749 2.331423712018152 28.98703934551145 0.0025746238650856414 0.03449817651538969 0.01414425237130977
1.7 0.42 -0.0006857389675002795 2.3262863000041123 27.980156709360593 0.0027460927853058 0.03573961398384363 0.015010637873214324
1.7 0.43 -0.0007310667357046455 2.32098724143183 27.0123829045986 0.002927474976409874 0.03702005867204554 0.01591862522897958
1.7 0.44 -0.000778978545087558 2.3155224054253316 26.082050900660708 0.003119220111139097 0.03834054322678544 0.016869839019785594
1.7 0.45 -0.0008295826763780531 2.309886864723405 25.187862725821674 0.0033217093834505143 0.039701661505993385 0.017865747677697025
1.7 0.46 -0.0008829943210562005 2.304077900911059 24.328123663290306 0.0035354414600053223 0.04110469076203113 0.01890815775053432
1.7 0.47 -0.0009393106632739762 2.298090286587695 23.501559561043894 0.0037608231986833575 0.04255036766400799 0.019998672802083756
1.7 0.48 -0.0009986687152977389 2.291919956957298 22.706916174407745 0.003998261821910313 0.04403944561732556 0.02113893389631627
1.7 0.49 -0.0010611617447049693 2.285561953786568 21.94241601343458 0.0042483717905902624 0.04557383286269546 0.022331178102720773
1.7 0.5 -0.0011269252255259668 2.279012170812777 21.207066791594375 0.004511525783597057 0.047154093011880345 0.023577046505940173
1.7 0.51 -0.0011960626310391562 2.2722625719310314 20.499676653595646 0.004788164304805671 0.048781257231420766 0.02487844118802459
1.7 0.52 -0.001268716151755979 2.2653093359829404 19.818798432211295 0.00507888666201989 0.050457145695306634 0.02623771576155945
1.7 0.53 -0.0013450093974962732 2.258146130816597 19.163462510263813 0.005384095710275339 0.05218263659108614 0.027656797393275655
1.7 0.54 -0.00142506442762428 2.2507648410693184 18.53229625088354 0.005704433350122582 0.05395985400094844 0.029138321160512157
1.7 0.55 -0.0015089946523335895 2.2431592731596885 17.924485885098196 0.006040263377815533 0.05578960570530873 0.030684283137919804
1.7 0.56 -0.00159696866166259 2.23532070364408 17.338720093484834 0.006392286000529572 0.05767438395731171 0.032297655016094565
1.7 0.57 -0.001689101724425622 2.227240634798971 16.774344328310377 0.0067607858163305605 0.05961484874924626 0.03398046378707036
1.7 0.58 -0.001785522538062391 2.2189124659311896 16.230061826497394 0.007146567702425186 0.061614059803973636 0.03573615468630471
1.7 0.59 -0.0018863610185518298 2.210324582954423 15.7051054201331 0.007550058966918773 0.06367356176533867 0.03756740144154981
1.7 0.6 -0.001991771697624635 2.201465307347041 15.198652345117257 0.007971744654395064 0.06579530719519758 0.039477184317118545
1.7 0.61 -0.00210189029544508 2.192326699885675 14.70981356036919 0.008412230109001348 0.06798182695490954 0.041468914442494814
1.7 0.62 -0.0022168469550515046 2.182893267585065 14.237664879316359 0.00887219918790322 0.07023623666355155 0.043546466731401966
1.7 0.63 -0.0023367724575478477 2.173152711616509 13.781652150566043 0.009351950204538356 0.07256024089672934 0.04571295176493949
1.7 0.64 -0.002461847574059997 2.1630905459171137 13.340758494378477 0.009852407908013403 0.07495825671541687 0.04797328429786679
1.7 0.65 -0.0025921662659003086 2.1526893202718087 12.914585776235354 0.010373675644756213 0.07743182919890006 0.05033068897928504
1.7 0.66 -0.0027278676258626483 2.141932108468897 12.502282225705946 0.010916538889393151 0.07998539642177488 0.052790361638371426
1.7 0.67 -0.0028691075123773307 2.130800537952384 12.103150881153748 0.011481626492325633 0.0826231127595985 0.055357485548930996
1.7 0.68 -0.0030160189663064746 2.119270342181099 11.716646491869723 0.01206929411062838 0.08534865336202711 0.05803708428617844
1.7 0.69 -0.003168726226780133 2.1073202446456816 11.342067925917117 0.012680258727267094 0.08816734360362599 0.06083546708650193
1.7 0.7 -0.003327322624054607 2.0949193575282172 10.978934585018385 0.013314743987206987 0.09108351928470165 0.06375846349929115
1.7 0.71 -0.0034919954021148253 2.082041444270002 10.62656052083658 0.013973507842663683 0.09410382579002849 0.06681371631092023
1.7 0.72 -0.0036627998503145492 2.0686501441346805 10.284442347602964 0.014656837892000856 0.09723424627229049 0.07000865731604915
1.7 0.73 -0.003839848525768935 2.0547084633618873 9.951992429374437 0.015365260269858879 0.10048239155090052 0.07335214583215738
1.7 0.74 -0.004023218914730162 2.0401684016047117 9.628833256241741 0.016098555571045108 0.10385474266591599 0.07685250957277782
1.7 0.75 -0.004213027407251102 2.0249854587432847 9.314119066127365 0.01685807516415788 0.10736388410973804 0.08052291308230353
1.7 0.76 -0.00440928941505804 2.0090948963057205 9.007591981420942 0.017642998317500283 0.11101746194350275 0.08437327107706209
1.7 0.77 -0.004612069994989226 1.9924304058391074 8.70848251610121 0.01845429122058402 0.11483056871861302 0.08841953791333203
1.7 0.78 -0.004821345065170207 1.9749115186903032 8.41637946070834 0.019291352696392997 0.11881593560134443 0.09267642976904866
1.7 0.79 -0.005037114703583687 1.9564395061044157 8.130547297317698 0.02015465389006611 0.12299295034294977 0.09716443077093032
1.7 0.8 -0.0052592759513442194 1.9368984609194688 7.8504861267343635 0.021043252867834487 0.12738064673403593 0.10190451738722875
1.7 0.81 -0.005487701708783765 1.9161428479127969 7.575427002188956 0.021956902750353256 0.13200576016520854 0.10692466573381892
1.7 0.82 -0.005722200548198622 1.8939897532127847 7.304525939400219 0.022895034898413148 0.13690142362368157 0.11225916737141889
1.7 0.83 -0.005962420588579695 1.8702125118887243 7.036955156500243 0.023855868759829073 0.14210691666498265 0.1179487408319356
1.7 0.84 -0.0062079306528284445 1.8445057814107875 6.771524665768476 0.024837899646441775 0.14767722918521092 0.12404887251557717
1.7 0.85 -0.0064581134535653395 1.8164550194636992 6.506789272999849 0.02583842166107821 0.153685628663208 0.1306327843637268
1.7 0.86 -0.006712055658441934 1.78548288131428 6.24068020352315 0.026854631552384548 0.16023894309396822 0.13780549106081266
1.7 0.87 -0.006968404670385009 1.7507056623226411 5.970425881893479 0.027879876413426947 0.16749223921072395 0.14571824811332984
1.7 0.88 -0.008416364492850426 0.8271628539283157 1.2517199556545178 0.033675490197391 0.7989007409226013 0.7030326520118891
1.7 0.89 -0.00729684327588781 0.8275288069609793 1.1017444490266723 0.029187358059892955 0.9076514983882535 0.8078098335655457
1.7 0.9 -0.00618093202310711 0.8353624022289109 1.0128337626502053 0.02472373305137591 0.9873288558068757 0.8885959702261881
1.7 0.91 -0.0051102449721566225 0.846544473898124 0.9499094192139763 0.020440988028650773 1.0527319550399576 0.9579860790863615
1.7 0.92 -0.004109203259891994 0.859766560172452 0.9017805698125052 0.016436824218813414 1.1089172171983215 1.0202038398224558
1.7 0.93 -0.003194630025091086 0.8744222978209979 0.8632373271331907 0.012778542970691963 1.1584299804562412 1.0773398818243045
1.7 0.94 -0.002379045030032681 0.8901780407825264 0.8314121476263532 0.009516205905495225 1.2027729001253566 1.130606526117835
1.7 0.95 -0.001672195217945518 0.9068297156573976 0.8045539426941855 0.006688812796707561 1.2429247399513452 1.1807785029537778
