#1=α 2=ρ 3=ϕ 4=Σ 5=E 6=q0 7=q1 8=δq 9=qh0 10=qh1 11=δqh 12=ρh 13=m 
2.0 0.8 -0.030797465951544464 8.351155603256776e-5 0.03080232294149805 0.7591896604126759 0.7906161900001253 0.6563159725288479 0.08323234312847831 0.1232461821293329 1.523656351295101 0.668523620093175 17.19409692641434
2.0 0.79 -0.03270150118479792 3.8909074071485615e-5 0.032704255645842416 0.7646419904497175 0.8116637138744293 0.6731792796038434 0.07857476308274534 0.13080311152269264 1.485488383701425 0.590698110137483 14.125839299579082
2.0 0.77 -0.03605297487357176 2.096178587095507e-5 0.036054914118945514 0.7774097018852191 0.8651457317840034 0.6987202406198918 0.06801260129834169 0.14424853849726027 1.431187966034616 0.4674937557879176 10.809248873112681
2.0 0.76 -0.03751464976712954 -7.958592103089209e-5 0.0375065528694628 0.7830119385955697 0.8948491427695938 0.7092316763015436 0.06280416287562984 0.14999674766702498 1.4099765047364168 0.42023765778420596 9.829186968463743
2.0 0.75 -0.03885043149216566 -6.694085159048398e-5 0.03884308368756573 0.788146652743999 0.9255949175030795 0.7176544600624677 0.05815159579818241 0.15537934766052253 1.3934282522440626 0.38073923607634397 9.11032005275335
2.0 0.74 -0.040073877025778 -2.446836020326789e-5 0.0400710183219798 0.7925477244112212 0.9566315311505934 0.7250010980141921 0.05401874226345267 0.16030144461276485 1.379308255862014 0.34750995422061504 8.559249901532324
2.0 0.73 -0.041197645674292876 1.1320562906607262e-5 0.04119903832596637 0.796303014267713 0.9876460332633309 0.7312012994484451 0.050378499732226405 0.16482115146043697 1.367612449204225 0.3192530866792386 8.12878275454968
2.0 0.72 -0.0422330877196091 6.319558738628145e-5 0.04224120591426495 0.7995840689026567 1.0185424249189245 0.7363860790500425 0.04719621001944539 0.16901496617260925 1.3579833031200486 0.29497873128914165 7.784438543944119
2.0 0.71 -0.043190167449231015 9.045509833567123e-5 0.043202224631429025 0.8021770210473647 1.048822324481325 0.7408625252775511 0.04439290702277992 0.17287061093718134 1.3497780841666507 0.27400020813472814 7.50217562032067
2.0 0.7 -0.04407756334702795 4.935557645398374e-5 0.04408435551180322 0.8040188866247567 1.0783865778224395 0.744843199927149 0.04187114775033444 0.176379006644467 1.342564448595097 0.25560985157435645 7.266545804910018
2.0 0.69 -0.044902772412377806 -7.809739841618979e-5 0.04489172879414142 0.80549831010113 1.1074947297713944 0.7481208155514558 0.039609966934425714 0.17959177930348955 1.3366824972820441 0.23927132098094936 7.071722033895049
2.0 0.68 -0.045672311675609034 4.835029499016738e-5 0.04567932892038887 0.8062754948490406 1.1358993263017516 0.7514846462851805 0.03763760426864201 0.18275145376445143 1.3306991765477925 0.22496724213660899 6.890210689118313
2.0 0.67 -0.04639179951063971 -7.854498714636431e-5 0.046380151590702606 0.8066243884783193 1.1634038688514177 0.7542897331415022 0.03582067930046507 0.1854974160053757 1.3257505121210569 0.21201541410942312 6.743262966306471
