#1=α 2=λ 3=Δ 4=ϕ 5=Σ 6=E 7=ρ 8=q0 9=q1 10=δq 11=ρh 12=qh0 13=qh1 14=δqh 15=m 
3.0 0.0 0.0 -0.29184482960995617 -5.618696293456703e-6 0.29184165652729516 0.0 0.47191054741874905 1.3540706475945146 0.4239327329434871 0.0 0.11964602762220378 1.1674251968075604 2.3588647969141507 1.770737448000958
3.0 0.0 0.0 -0.29183960423394717 -1.0248059240881162e-6 0.29183902548867624 0.005 0.47192930530037713 1.354029357095871 0.42393433955467863 0.0025177476863346127 0.11965706386689107 1.16741618942237 2.3588558573727467 1.770737448000958
3.0 0.0 0.0 -0.29182392991394324 -9.941185189999808e-7 0.29182336856248003 0.01 0.47209957518163076 1.353925888659232 0.42392263071631675 0.0050363062978721375 0.11971977116210625 1.1673513657981962 2.358921009501817 1.7709377888312594
3.0 0.0 0.0 -0.2917978062274047 -6.014341989177136e-6 0.2917944108641906 0.015 0.47240345074692836 1.353747994456228 0.4238944531748152 0.00755646523671533 0.11982874814137215 1.1672356134161608 2.359077814088776 1.7713397978231475
3.0 0.0 0.0 -0.2917612314207735 -7.526503170563954e-6 0.2917569835499194 0.02 0.47279826034901323 1.353497526510038 0.4238623259645141 0.010079063580189814 0.11997442243670871 1.167086108815582 2.359256623537994 1.7718295657118706
3.0 0.0 0.0 -0.2917142049486394 -9.598140772382277e-6 0.29170878978181647 0.025 0.47329862025052394 1.3531756628182012 0.4238216144800333 0.012604845320484859 0.12015902316543965 1.1668931814709724 2.3594832491656956 1.772455232902372
3.0 0.0 0.0 -0.29165672414809773 8.578214423461386e-6 0.29166156225061607 0.03 0.47390422198910787 1.3527769286205478 0.423778653268827 0.015135714771608286 0.12040052419351027 1.1667302929314052 2.3597224454003904 1.7730534627891683
3.0 0.0 0.0 -0.2915887907474424 -1.4249643640068618e-6 0.2915879875049014 0.035 0.47463514607561164 1.3523173345753272 0.42372103118002713 0.017670141811794424 0.12066506263141011 1.1664183898878202 2.3600433455358245 1.77401505934511
3.0 0.0 0.0 -0.29151039958829683 -1.512091505777511e-6 0.29150954771162957 0.04 0.47544002153756587 1.3517811279360277 0.4236578547924258 0.02021045102922739 0.12096612476614377 1.1661048384365658 2.3603952781424455 1.7750122334447997
3.0 0.0 0.0 -0.29142154901982087 -2.0584692529066028e-6 0.2914203900657194 0.045 0.47634942487863124 1.3511719289181734 0.4235885642895374 0.02275716489774738 0.12130725462429795 1.165742122641913 2.3607813909642408 1.7761438958656603
3.0 0.0 0.0 -0.2913222359230693 -2.530815381937909e-6 0.2913208120490277 0.05 0.4773640697975566 1.3504940745348 0.423507986622805 0.02531104055095027 0.12168843360964574 1.1653442632145241 2.361230559013387 1.7774152123470406
3.0 0.0 0.0 -0.29121245637116033 -2.7874568256621913e-6 0.29121088933175127 0.055 0.47846300428051425 1.3497454470951573 0.42342095623725584 0.027872627386298504 0.12210243735812926 1.1649043848189553 2.3617158888084613 1.7788045466715035
3.0 0.0 0.0 -0.2910922057566977 -3.0441671848445753e-6 0.2910904958298114 0.06 0.47962474503306074 1.3489263522485235 0.4233327100265002 0.030442289869630622 0.1225410683311616 1.164413921692462 2.3622082024736555 1.7802908470667855
3.0 0.0 0.0 -0.29096147932936767 -3.418679433192397e-6 0.29095956080889535 0.065 0.48090309853609275 1.3480369100952487 0.4232307710965063 0.03302162350327148 0.12302555358980352 1.1638894622061104 2.362777161521597 1.781935341589316
3.0 0.0 0.0 -0.2908202707798998 -3.6921588763155116e-6 0.29081820084126375 0.07 0.48226625473520235 1.347077676803057 0.4231217387258305 0.035610909228838916 0.12354402887557737 1.1633231695098443 2.363386015124995 1.7837045079553637
3.0 0.0 0.0 -0.29066857309840555 -3.859238318381869e-6 0.2906664117789558 0.075 0.4837061561809878 1.346048621420951 0.42300604186486446 0.038210733295675516 0.12409373143887374 1.1627152383895527 2.364032427507181 1.7855936654053015
3.0 0.0 0.0 -0.2905063773518537 9.380657046154299e-6 0.29051162525896784 0.08 0.485227125509305 1.3449467499652032 0.42288661672974126 0.04082384090043721 0.12468852766022671 1.1621136842891804 2.364700041191137 1.787504397870428
3.0 0.0 0.0 -0.29033367750850414 -4.393375961190967e-6 0.2903312227736863 0.085 0.4868292411752386 1.3437823624149763 0.42275256156901764 0.04344516232765965 0.12529334734054193 1.1613734077365627 2.3654498893834446 1.7897558340025077
3.0 0.0 0.0 -0.2901504602063665 -4.402460166576836e-6 0.290148003501979 0.09 0.4884991859676181 1.3425455575959968 0.4226158873171386 0.046080992261663095 0.1259391878430884 1.1606403700953982 2.366214877410845 1.7920186852836815
3.0 0.0 0.0 -0.2899567138823569 9.79928424113832e-6 0.2899621752668653 0.095 0.49023126411524887 1.3412365309722998 0.42247746729195546 0.04873234184671799 0.12662475720157695 1.1599151077880805 2.366990141296563 1.7942857211480503
3.0 0.0 0.0 -0.2897524279435969 9.97722537159114e-6 0.289757980721455 0.1 0.4920438330897085 1.3398626671058032 0.4223270398819531 0.05139572749601369 0.12733288139534535 1.159098826840348 2.3678332324624902 1.7967989403864006
3.0 0.0 0.0 -0.28953758692766385 9.341881068798063e-6 0.28954277851728 0.105 0.4939032585526023 1.3384204410570315 0.4221716780481618 0.054073044058250794 0.1280621213760022 1.158236905531043 2.368704609990249 1.7994259484106376
3.0 0.0 0.0 -0.2893121750757127 9.51148276051363e-6 0.2893174528520618 0.11 0.4958312991471144 1.3369102530583432 0.4220095642916638 0.056765931033324786 0.12882327887658335 1.1573357265731041 2.36961454103175 1.802176168794315
