#1=α 2=ρ 3=Δ 4=ϕ 5=q0 6=δq 7=qh0 8=δqh 9=ρh
3.0 0.9999 0.0 -1.999969953197089e-8 0.9998000150053873 0.2500170171426396 8.007529404837883e-8 3.9997277442498262 3.9993277714754014
3.0 0.995 0.0 -4.9961957523316134e-5 0.9900375764825639 0.2508581592081286 0.00019984934574870535 3.9863164234189155 3.966384841301821
3.0 0.99 0.0 -0.0001996913207717826 0.9801506225622102 0.25174519786196586 0.0007987699768959246 3.9722704087023293 3.932547704615306
3.0 0.985 0.0 -0.00044894319405654366 0.9703396393538289 0.2526623884047159 0.0017957775383915155 3.9578506572105816 3.898482897352423
3.0 0.98 0.0 -0.0007974584847858022 0.960605166181865 0.2536112538976458 0.003189838781097726 3.943042686913203 3.8641818331749387
3.0 0.975 0.0 -0.0012449629872568458 0.9509477830939349 0.2545932935025176 0.00497985688108422 3.927833236463911 3.829637405552313
3.0 0.97 0.0 -0.0017911663933540241 0.9413681147101713 0.2556101116791479 0.007164670605494354 3.912208298141352 3.7948420491971113
3.0 0.965 0.0 -0.002435761222949158 0.9318668342582828 0.2566634222312652 0.009743050033798264 3.8961531460410255 3.7597877859295896
3.0 0.96 0.0 -0.00317842166595034 0.9224446680580244 0.25775505652478015 0.01271369192586035 3.8796523082132497 3.7244662158847195
3.0 0.955 0.0 -0.004018802326972003 0.9131024005152863 0.2588869734856551 0.01607521470054034 3.8626895225201814 3.688868494006773
3.0 0.95 0.0 -0.004956536862458668 0.9038408796955112 0.2600612709881024 0.019826152984169967 3.8452476841342103 3.6529852999274994
3.0 0.945 0.0 -0.005991236498836115 0.8946610235574078 0.2612801986412311 0.02396495168314993 3.8273087865074666 3.6168068032495557
3.0 0.94 0.0 -0.0071224884187696125 0.8855638269412505 0.26254617210390463 0.028489959528978967 3.8088538560152476 3.5803226246543325
3.0 0.935 0.0 -0.00834985400091386 0.8765503694219314 0.2638617891174103 0.033399422037232195 3.789862879899715 3.5435217927062337
3.0 0.93 0.0 -0.009672866896551653 0.8676218241559075 0.265229847491349 0.038691473814162734 3.7703147268620176 3.5063926959816767
3.0 0.925 0.0 -0.01109103092426084 0.8587794678739238 0.2666533653241066 0.04436413013536496 3.750187059460283 3.4689230300007616
3.0 0.92 0.0 -0.012603817761058126 0.8500246921988126 0.2681356037908534 0.050415277710371034 3.729456237300001 3.431099738316001
3.0 0.915 0.0 -0.014210664405362762 0.8413590165007856 0.2696800928925378 0.056842664534527874 3.708097209824383 3.392908946989311
3.0 0.91 0.0 -0.015910970383502747 0.8327841025428984 0.27129066063172874 0.06364388871504775 3.686083397310454 3.354335891552513
3.0 0.905 0.0 -0.017704094667152313 0.8243017712184406 0.2729714661685122 0.07081638614080168 3.6633865584422467 3.315364835390233
3.0 0.9 0.0 -0.019589352264078017 0.815914021742193 0.27472703761583617 0.07835741684532617 3.6399766425550997 3.2759789782995896
