#1=α 2=λ 3=Δ 4=ϕ 5=Σ 6=E 7=ρ 8=q0 9=q1 10=δq 11=ρh 12=qh0 13=qh1 14=δqh 15=m 
2.0 0.0 0.0 -0.06004950585087787 -2.707583378328106e-7 0.060049449562810185 0.0 0.4698910812390897 1.9399385409711998 0.8024594774367051 0.0 0.007579442065489121 0.24024294538305033 1.2461688448048458 4.810226198259897
2.0 0.0 0.0 -0.0600489644098226 2.458917276725592e-6 0.0600494755951963 0.005 0.4699779397329515 1.9398955192633789 0.8024571733013799 0.0006350744056968538 0.0075816474015623 0.24024379170095525 1.246172422991635 4.810226198259897
2.0 0.0 0.0 -0.06004734012664664 9.719171093375237e-6 0.06004936064931913 0.01 0.47021699146693613 1.9397662313579915 0.8024591170661663 0.001270434402120435 0.007587705025881256 0.24024328463886638 1.2461694044377656 4.810226198259897
2.0 0.0 0.0 -0.06004463525403325 1.9317038636245405e-6 0.06004503677858646 0.015 0.4707889337050676 1.939555908489377 0.8024071571419649 0.0019063275027525772 0.007600307200917575 0.240229578117773 1.246250100213246 4.810923387322755
2.0 0.0 0.0 -0.06004084855766262 -8.930905134075737e-6 0.060038992494457974 0.02 0.4714153702427484 1.9392593192722756 0.8023794202252099 0.0025428236895194667 0.007613907310209831 0.24020140095894194 1.2462931809982398 4.811746233494731
2.0 0.0 0.0 -0.06003598020186657 -7.106837566501791e-6 0.06003450342031957 0.025 0.4722314363004456 1.9388761662523684 0.8023488292509007 0.0031804980387006576 0.007632906990617698 0.24018316528352648 1.246340698139528 4.812382427810132
2.0 0.0 0.0 -0.06003003143942881 1.7581112372520662e-6 0.0600303967223076 0.03 0.47326017531396614 1.9384078853634215 0.8023035292560752 0.0038196715362967958 0.007657425892195935 0.24017055010157987 1.2464110695452606 4.813012980696378
2.0 0.0 0.0 -0.06002300413351341 2.6836756399159358e-6 0.06002356160504048 0.035 0.4744587513336244 1.9378563422998338 0.8022453445646938 0.004460268296533079 0.0076853135244964125 0.24014522563890145 1.2465014683788678 4.8140138278307445
2.0 0.0 0.0 -0.06001489895125722 3.0682496444135865e-6 0.060015536156705046 0.04 0.4758121361167756 1.9372203909539143 0.802184657766368 0.005102621912449487 0.007716839384942218 0.24011388512657114 1.2465957685907822 4.8151654303886655
2.0 0.0 0.0 -0.06000571717648384 2.9695914960021176e-6 0.06000633372623099 0.045 0.47733146668632276 1.9364999868842259 0.8021244231852198 0.005747007964232173 0.0077523307503598185 0.24007575324478966 1.2466893802198677 4.816466975699138
