#1=α 2=ϕ 3=q0 4=qh0 
0.8 -0.6576738969448732 0.63 1.702702702702124
0.8 -0.6599273105680625 0.64 1.7777777777770496
0.8 -0.662305310175423 0.65 1.8571428571418949
0.8 -0.664814911724112 0.66 1.9411764705870074
0.8 -0.6674634848180592 0.67 2.0303030303014187
0.8 -0.6702593815434466 0.68 2.124999999997862
0.8 -0.6732114549292644 0.69 2.2258064516100733
0.8 -0.6763293901909028 0.7 2.3333333333295516
0.8 -0.6796238284207147 0.71 2.4482758620638094
0.8 -0.6831065238667748 0.72 2.5714285714215634
0.8 -0.686790313617119 0.73 2.703703703694104
0.8 -0.6906894482621517 0.74 2.8461538461404783
0.8 -0.6948197744155784 0.75 2.9999999999811133
0.8 -0.6991989425489722 0.76 3.1666666666396353
0.8 -0.7038467793856642 0.77 3.347826086917103
0.8 -0.7087855230169606 0.78 3.545454545396489
0.8 -0.7140403570260954 0.79 3.761904761818421
0.8 -0.7196400386864976 0.8 3.9999999998681868
0.8 -0.7256174354205751 0.81 4.263157894532024
0.8 -0.7320104436567421 0.82 4.55555555522911
0.8 -0.7388632565031128 0.83 4.882352940642231
0.8 -0.7462275963399546 0.84 5.249999999104885
0.8 -0.7541647391273251 0.85 5.666666665113521
0.8 -0.7627480541377347 0.86 6.14285714007016
0.8 -0.7720664349643902 0.87 6.692307687098806
0.8 -0.7822292697940694 0.88 7.333333323122758
0.8 -0.7933730398527309 0.89 8.090909069781087
0.8 -0.8056717169224937 0.9 8.999999953409038
0.8 -0.8193520246743617 0.91 10.111110999966739
0.8 -0.8347174750760334 0.92 11.499999709670456
0.8 -0.8521885537507149 0.93 13.285713433798554
0.8 -0.872373209253472 0.94 15.66666666666516
0.8 -0.8962005893141691 0.95 18.99999999999551
0.8 -0.9252030399617409 0.96 23.999999999803297
0.8 -0.9621981462085807 0.97 32.33333332536678
0.8 -1.0132191719177297 0.98 48.999998834718056
0.8 -1.098064322870901 0.99 98.99999999999991
0.8 -1.11061768533287 0.991 110.11111111111101
0.8 -1.1245567823083191 0.992 123.99999999999989
0.8 -1.1402421824580755 0.993 141.85714285714272
0.8 -1.1581993520258702 0.994 165.66666666666652
0.8 -1.1792387420976422 0.995 198.99999999999983
0.8 -1.2047103143139912 0.996 248.99999999999977
0.8 -1.2371285850178932 0.997 332.33333333333303
0.8 -1.282096542000996 0.998 498.99999999999955
0.8 -1.3573233583965205 0.999 998.9999999999991
0.8 -1.3573233583965205 0.999 998.9999999999991
0.8 -1.3686036842126335 0.9991 1110.1111111110963
0.8 -1.381171751379275 0.9992 1248.9999999999643
0.8 -1.3953689797035926 0.9993 1427.5714285713593
0.8 -1.4116945782241082 0.9994 1665.666666666542
0.8 -1.4309212409294683 0.9995 1999.0000000002203
0.8 -1.4543409036577606 0.9996 2499.000000000275
0.8 -1.4843704190275115 0.9997 3332.3333333337005
0.8 -1.52642232688796 0.9998 4999.00000000055
0.8 -1.5977140470680542 0.9999 9999.0000000011

1.05 -0.8229449798461229 0.0 -2.642495106058981e-13
1.05 -0.8229191235444775 0.01 0.010101000010200162
1.05 -0.8228457379459988 0.02 0.020408163265307054
1.05 -0.8227308783295464 0.03 0.03092783505154735
1.05 -0.8225794141615567 0.04 0.041666666666667664
1.05 -0.8223950833570666 0.05 0.05263157894736945
1.05 -0.8221811748378113 0.06 0.06382978723404362
1.05 -0.8219406227355163 0.07 0.07526881720430219
1.05 -0.8216758942059604 0.08 0.08695652173913157
1.05 -0.8213893326966688 0.09 0.09890109890110008
1.05 -0.8210828445209144 0.1 0.11111111111111234
1.05 -0.8207584338996459 0.11 0.1235955056179788
1.05 -0.820417668031812 0.12 0.13636363636363769
1.05 -0.82006224184321 0.13 0.14942528735632318
1.05 -0.8196935608882666 0.14 0.16279069767442003
1.05 -0.8193130209672352 0.15 0.17647058823529554
1.05 -0.8189218825582881 0.16 0.19047619047619196
1.05 -0.8185214636567538 0.17 0.20481927710843528
1.05 -0.8181128176059286 0.18 0.21951219512195275
1.05 -0.8176971549117689 0.19 0.23456790123456953
1.05 -0.8172755193290688 0.2 0.25000000000000167
1.05 -0.8168488504332765 0.21 0.2658227848101283
1.05 -0.8164182937371527 0.22 0.2820512820512838
1.05 -0.8159846835482555 0.23 0.29870129870130047
1.05 -0.815548969867837 0.24 0.3157894736842123
1.05 -0.8151120913644928 0.25 0.33333333333333515
1.05 -0.8146749027184401 0.26 0.3513513513513532
1.05 -0.8142383109421713 0.27 0.36986301369863195
1.05 -0.8138031750911586 0.28 0.3888888888888907
1.05 -0.8133702993532241 0.29 0.40845070422535384
1.05 -0.8129405436126124 0.3 0.42857142857143027
1.05 -0.8125147499718358 0.31 0.44927536231884224
1.05 -0.812093696046124 0.32 0.4705882352941192
1.05 -0.8116783024471708 0.33 0.49253731343283735
1.05 -0.8112692710131655 0.34 0.5151515151515165
1.05 -0.8108674168659441 0.35 0.5384615384615394
1.05 -0.8104736279282645 0.36 0.5625000000000007
1.05 -0.8100887054224707 0.37 0.5873015873015877
1.05 -0.8097135517171842 0.38 0.6129032258064516
1.05 -0.8093489034905365 0.39 0.6393442622950813
1.05 -0.8089956251711362 0.4 0.6666666666666653
1.05 -0.808654645573591 0.41 0.6949152542372856
1.05 -0.8083267769042892 0.42 0.7241379310344792
1.05 -0.808012921546723 0.43 0.7543859649122762
1.05 -0.8077140164301982 0.44 0.785714285714279
1.05 -0.8074309659849012 0.45 0.8181818181818095
1.05 -0.8071646873523699 0.46 0.8518518518518408
1.05 -0.8069161439112826 0.47 0.8867924528301742
1.05 -0.8066864449808601 0.48 0.9230769230769048
1.05 -0.8064764736858847 0.49 0.9607843137254674
1.05 -0.8062873103970565 0.5 0.9999999999999714
1.05 -0.8061202341300931 0.51 1.040816326530577
1.05 -0.805976075798686 0.52 1.0833333333332882
1.05 -0.8058562106285805 0.53 1.1276595744680287
1.05 -0.8057617609960197 0.54 1.1739130434781915
1.05 -0.8056940355364024 0.55 1.2222222222221317
1.05 -0.8056542420503121 0.56 1.2727272727271621
1.05 -0.8056439145573033 0.57 1.3255813953486943
1.05 -0.8056642632199538 0.58 1.3809523809522029
1.05 -0.8057169474705821 0.59 1.4390243902436852
1.05 -0.8058033948264516 0.6 1.4999999999997184
1.05 -0.8059254526333982 0.61 1.5641025641022075
1.05 -0.8060844588384244 0.62 1.6315789473679705
1.05 -0.8062825720301667 0.63 1.702702702702124
1.05 -0.80652158769371 0.64 1.7777777777770496
1.05 -0.8068035126523244 0.65 1.8571428571418949
1.05 -0.8071305620485331 0.66 1.9411764705870074
1.05 -0.8075047887422011 0.67 2.0303030303014187
1.05 -0.8079288315275917 0.68 2.124999999997862
1.05 -0.8084051937348243 0.69 2.2258064516100733
1.05 -0.8089365739496324 0.7 2.3333333333295516
1.05 -0.8095259066769354 0.71 2.4482758620638094
1.05 -0.8101764257293784 0.72 2.5714285714215634
1.05 -0.8108914553750058 0.73 2.703703703694104
1.05 -0.8116746433492914 0.74 2.8461538461404783
1.05 -0.8125299599954637 0.75 2.9999999999811133
1.05 -0.8134616815267532 0.76 3.1666666666396353
1.05 -0.8144745276219747 0.77 3.347826086917103
1.05 -0.8155735407363583 0.78 3.545454545396489
1.05 -0.8167642579303958 0.79 3.761904761818421
1.05 -0.8180528769581998 0.8 3.9999999998681868
1.05 -0.8194461329236218 0.81 4.263157894532024
1.05 -0.8209514529101104 0.82 4.55555555522911
1.05 -0.8225772676084799 0.83 4.882352940642231
1.05 -0.8243328664855171 0.84 5.249999999104885
1.05 -0.8262287224661952 0.85 5.666666665113521
1.05 -0.828276687247522 0.86 6.14285714007016
1.05 -0.830490191433488 0.87 6.692307687098806
1.05 -0.8328847390734517 0.88 7.333333323122758
1.05 -0.8354779096208156 0.89 8.090909069781087
1.05 -0.838290077090485 0.9 8.999999999981137
1.05 -0.8385842481070794 0.901 9.10101010101011
1.05 -0.838880871443223 0.902 9.204081632653065
1.05 -0.8391799745300389 0.903 9.309278350515465
1.05 -0.839481580490177 0.904 9.416666666666666
1.05 -0.8397857225197227 0.905 9.52631578947369
1.05 -0.8400924189932657 0.906 9.63829787234043
1.05 -0.8404017070027835 0.907 9.752688172043014
1.05 -0.8407136098806041 0.908 9.869565217391315
1.05 -0.8410281644245631 0.909 9.989010989010985
1.05 -0.8413453836537182 0.91 10.111111111111123
1.05 -0.8416653076494884 0.911 10.235955056179774
1.05 -0.8419879656172362 0.912 10.363636363636376
1.05 -0.8423133888942391 0.913 10.494252873563228
1.05 -0.8426416074674175 0.914 10.627906976744182
1.05 -0.8429726560059722 0.915 10.76470588235296
1.05 -0.8433065571310837 0.916 10.904761904761905
1.05 -0.8436433498931223 0.917 11.048192771084327
1.05 -0.8439830709436086 0.918 11.195121951219516
1.05 -0.8443257487881208 0.919 11.345679012345673
1.05 -0.8446714186410302 0.92 11.499999999999991
1.05 -0.8450201119368833 0.921 11.658227848101282
1.05 -0.8453718675962439 0.922 11.820512820512837
1.05 -0.8457267170832087 0.923 11.987012987012974
1.05 -0.846084700120159 0.924 12.157894736842072
1.05 -0.8464458511636823 0.925 12.333333333333321
1.05 -0.8468102094709136 0.926 12.513513513513475
1.05 -0.8471778025271057 0.927 12.698630136986273
1.05 -0.847548682959667 0.928 12.888888888888921
1.05 -0.8479228809572547 0.929 13.084507042253561
1.05 -0.8483004315883587 0.93 13.285714285714267
1.05 -0.8486813787044785 0.931 13.492753623188385
1.05 -0.8490657531070107 0.932 13.705882352941204
1.05 -0.8494536040903621 0.933 13.925373134328357
1.05 -0.8498449731696948 0.934 14.151515151515202
1.05 -0.8502398952039978 0.935 14.384615384615374
1.05 -0.8506384105189996 0.936 14.625000000000012
1.05 -0.8510405610719387 0.937 14.873015873015781
1.05 -0.8514463817422457 0.938 15.129032258064662
1.05 -0.8518559219232619 0.939 15.393442622950511
1.05 -0.852269223411469 0.94 15.666666666666968
1.05 -0.8526863103316198 0.941 15.949152542372971
1.05 -0.8531072399524807 0.942 16.241379310344833
1.05 -0.8535320486077221 0.943 16.543859649122936
1.05 -0.8539607671565225 0.944 16.85714285714282
1.05 -0.8543934499750616 0.945 17.181818181818198
1.05 -0.854830117112076 0.946 17.51851851851894
1.05 -0.8552708140800742 0.947 17.8679245283015
1.05 -0.8557155817561217 0.948 18.23076923076821
1.05 -0.8561644507455608 0.949 18.6078431372547
1.05 -0.8566174463574585 0.95 18.99999999999888
1.05 -0.8570746026065517 0.951 19.408163265305923
1.05 -0.8575359542073004 0.952 19.833333333331716
1.05 -0.8580015132892124 0.953 20.276595744680204
1.05 -0.8584713086208978 0.954 20.73913043478199
1.05 -0.8589453635034536 0.955 21.222222222220182
1.05 -0.8594236738259847 0.956 21.727272727270194
1.05 -0.8599062538874307 0.957 22.255813953486825
1.05 -0.8603930972535327 0.958 22.809523809521227
1.05 -0.8608842041407101 0.959 23.39024390243736
1.05 -0.861379539220881 0.96 23.999999999996234
1.05 -0.8618790839007726 0.961 24.64102564101499
1.05 -0.8623827839845382 0.962 25.315789473676634
1.05 -0.8628905789594812 0.963 26.027027027018303
1.05 -0.8634023773537605 0.964 26.777777777760587
1.05 -0.8639180610951991 0.965 27.57142857142184
1.05 -0.8644374885420989 0.966 28.41176470588092
1.05 -0.8649604552630459 0.967 29.303030303024048
1.05 -0.8654867227777078 0.968 30.249999999970843
1.05 -0.8660159611884408 0.969 31.258064516117358
1.05 -0.8665477439098538 0.97 32.3333333333248
1.05 -0.867081528694186 0.971 33.48275862059934
1.05 -0.8676165865658376 0.972 34.71428571424418
1.05 -0.8681519809403195 0.973 36.037037036935466
1.05 -0.8686863913135073 0.974 37.46153846139758
1.05 -0.8692181661951077 0.975 38.99999999987321
1.05 -0.8697449927522239 0.976 40.666666666462085
1.05 -0.870263777601032 0.977 42.478260869091244
1.05 -0.870770283128678 0.978 44.45454545417332
1.05 -0.8712587896715447 0.979 46.619047618117555
1.05 -0.8719629774768213 0.98 48.99999994893444
1.05 -0.8724921480483337 0.981 51.63157894526947
1.05 -0.8730130221812009 0.982 54.555555551896745
1.05 -0.8735228513953331 0.983 57.823529406465234
1.05 -0.8740182246312329 0.984 61.49999999046498
1.05 -0.8744948372682888 0.985 65.66666665198898
1.05 -0.8749472804439535 0.986 70.42857140134076
1.05 -0.8753685672757656 0.987 75.92307686559491
1.05 -0.8757496417968553 0.988 82.33333322559963
1.05 -0.8760785285828482 0.989 89.90909068254183
1.05 -0.8763390822074183 0.99 98.99999948029445
1.05 -0.8765090398672164 0.991 110.11110998595943
1.05 -0.8765567553262021 0.992 124.00000000000388
1.05 -0.8764358129251584 0.993 141.85714285719175
1.05 -0.8760748042598792 0.994 165.66666666659722
1.05 -0.8753575104800235 0.995 199.00000000006375
1.05 -0.8740790191211678 0.996 248.99999998007408
1.05 -0.8718339255994527 0.997 332.3333330852676
1.05 -0.8676566959978058 0.998 498.99998793091737
1.05 -0.8582438955544824 0.999 998.9999831151207
1.05 -0.8566023676165742 0.9991 1110.1110609611662
1.05 -0.8547099814515056 0.9992 1248.9998503591414
1.05 -0.8524951885295922 0.9993 1427.5714279817857
1.05 -0.849852117864478 0.9994 1665.666665979696
1.05 -0.846614994416456 0.9995 1998.9999981582605
1.05 -0.8425027468542212 0.9996 2499.000013996234
1.05 -0.8369817869566774 0.9997 3332.333413020314
1.05 -0.8288366178815592 0.9998 4999.000823145488
1.05 -0.8141183786566399 0.9999 9998.9999365316

1.5 -1.1756356854944612 0.0 -1.2234919403669434e-14
1.5 -1.1755879616663603 0.01 0.01010100001020195
1.5 -1.1754504740691012 0.02 0.020408163265307054
1.5 -1.1752314245812001 0.03 0.03092783505154735
1.5 -1.174937307119312 0.04 0.041666666666667664
1.5 -1.1745729845699058 0.05 0.05263157894736945
1.5 -1.1741426632572831 0.06 0.06382978723404362
1.5 -1.173650026871844 0.07 0.07526881720430219
1.5 -1.1730980755215752 0.08 0.08695652173913157
1.5 -1.1724896153942608 0.09 0.09890109890110008
1.5 -1.1718268102460576 0.1 0.11111111111111234
