1:α 2:λ 3:ρ_r 4:E_r 5:E_l0 6:ρ_l 7:E_l
3.0 0.6195846593366683 0.8698074088473784 0.2698628590183416 -1 1 -1
3.0 0.7125223582371686 0.8536499379470233 0.3047087118341939 -1 1 -1
3.0 0.8194007119727437 0.835911186272219 0.343321158354586 -1 1 -1
3.0 0.9423108187686552 0.8165334984415595 0.38593319390899106 -1 1 -1
3.0 1.0836574415839535 0.7954783460024796 0.43275366106069 -1 1 -1
2.975 0.001 0.9997469172565352 0.0004998734610755101 -1 1 -1
2.975 0.00115 0.999708968951397 0.0005748326608684448 -1 1 -1
2.975 0.0013224999999999999 0.9996653329454219 0.0006610287070701567 -1 1 -1
2.975 0.0015208749999999999 0.9996151575520946 0.0007601448599781724 -1 1 -1
2.975 0.0017490062499999994 0.9995574637985729 0.0008741161387990652 -1 1 -1
2.975 0.0020113571874999995 0.999491126488385 0.0010051668504610317 -1 1 -1
2.975 0.002313060765624999 0.9994148524783524 0.001155853672197577 -1 1 -1
2.975 0.0026600198804687487 0.9993271557350012 0.001329115096704875 -1 1 -1
2.975 0.003059022862539061 0.9992263287572303 0.0015283281622586204 -1 1 -1
2.975 0.0035178762919199197 0.9991104098335277 0.0017573735183137051 -1 1 -1
2.975 0.004045557735707907 0.9989771454955643 0.002020710021199001 -1 1 -1
2.975 0.004652391396064093 0.9988239475701262 0.0023234602159700074 -1 1 -1
2.975 0.005350250105473706 0.9986478440597835 0.002671508240554726 -1 1 -1
2.975 0.006152787621294761 0.9984454229343627 0.0030716118880058174 -1 1 -1
2.975 0.0070757057644889754 0.9982127679915406 0.0035315307827153883 -1 1 -1
2.975 0.008137061629162322 0.9979453857057086 0.004060172866836312 -1 1 -1
2.975 0.009357620873536667 0.997638121787646 0.004667761653109904 -1 1 -1
2.975 0.010761264004567169 0.9972850663275111 0.005366026977777941 -1 1 -1
2.975 0.012375453605252242 0.9968794460789068 0.006168422278339261 -1 1 -1
2.975 0.014231771646040076 0.9964135022046982 0.007090371719321558 -1 1 -1
2.975 0.01636653739294609 0.995878352109585 0.00814955078548288 -1 1 -1
2.975 0.018821518001888 0.9952638336108695 0.00936620424177435 -1 1 -1
2.975 0.021644745702171196 0.9945583294678948 0.01076350560356936 -1 1 -1
2.975 0.024891457557496874 0.9937485709193529 0.012367962441773834 -1 1 -1
2.975 0.028625176191121406 0.9928194185253032 0.014209871929141455 -1 1 -1
2.975 0.03291895261978962 0.9917536184758037 0.016323830968206835 -1 1 -1
2.975 0.03785679551275806 0.9905315341717171 0.0187493049648677 -1 1 -1
2.975 0.043535314839671754 0.989130851552734 0.021531258745028987 -1 1 -1
2.975 0.05006561206562252 0.9875262593372356 0.02472085215439713 -1 1 -1
2.975 0.05757545387546589 0.9856891054866206 0.02837620141047884 -1 1 -1
2.975 0.06621177195678576 0.9835870321367527 0.032563205143526716 -1 1 -1
2.975 0.07614353775030362 0.9811835957142807 0.037356431097729494 -1 1 -1
2.975 0.08756506841284915 0.9784378779851166 0.04284005547248001 -1 1 -1
2.975 0.10069982867477653 0.9753041014843837 0.049108841660093716 -1 1 -1
2.975 0.11580480297599301 0.9717312620726617 0.056269138477038044 -1 1 -1
2.975 0.13317552342239194 0.9676628016487685 0.06443986971280814 -1 1 -1
2.975 0.15315185193575073 0.9630363437700182 0.07375347681931688 -1 1 -1
2.975 0.1761246297261133 0.9577835279509297 0.08435676483280552 -1 1 -1
2.975 0.2025433241850303 0.951829977561411 0.09641158833750205 -1 1 -1
2.975 0.23292482281278482 0.9450954513624901 0.1100952998809701 -1 1 -1
2.975 0.26786354623470254 0.9374942248006621 0.12560086851265492 -1 1 -1
2.975 0.3080430781699079 0.9289357620537102 0.1431365622368947 -1 1 -1
2.975 0.35424953989539404 0.9193257304105189 0.16292507681691 -1 1 -1
2.975 0.4073869708797031 0.9085674120541449 0.1852019866678637 -1 1 -1
2.975 0.46849501651165854 0.896563560406429 0.2102133940345732 -1 1 -1
