1:α 2:λ 3:ρ_r 4:E_r 5:E_l0 6:ρ_l 7:E_l
3.0 0.001 0.9997500796536662 0.0004998750421682908 0.2068051210617341 0.9997500796482758 0.000499875042168297
3.0 0.00115 0.9997126053357923 0.0005748347516302532 0.2069096896221585 0.9997126053279499 0.0005748347516286613
3.0 0.0013224999999999999 0.9996695142953771 0.0006610314717444342 0.20702990865013948 0.9996695142880265 0.0006610314717447051
3.0 0.0015208749999999999 0.9996199654536999 0.0007601485157166595 0.2071681145245956 0.9996199654452778 0.0007601485157170715
3.0 0.0017490062499999994 0.9995629920249129 0.0008741209726858566 0.20732699049138026 0.9995629920128135 0.0008741209726866873
3.0 0.0020113571874999995 0.9994974828112855 0.0010051732420217278 0.20750961754555497 0.9994974828000971 0.001005173242021842
3.0 0.002313060765624999 0.9994221607457163 0.001155862123128983 0.20771953258101394 0.999422160733014 0.001155862123128344
3.0 0.0026600198804687487 0.9993355582542881 0.0013291262701590238 0.2079607947825053 0.9993355582362611 0.0013291262701577561
3.0 0.003059022862539061 0.9992359890267131 0.0015283429347392366 0.20823806134562062 0.9992359890102845 0.001528342934738879
3.0 0.0035178762919199197 0.9991215156697084 0.001757393048212723 0.2085566737265797 0.9991215156511937 0.0017573930482140772
3.0 0.004045557735707907 0.9989899126160491 0.0020207358392975387 0.2089227557433725 0.9989899125901758 0.002020735839297492
3.0 0.004652391396064093 0.9988386236919584 0.0023234943449159345 0.20934332496954033 0.998838623668814 0.00232349434491559
3.0 0.005350250105473706 0.998664713582528 0.0026715533525463876 0.20982641897661236 0.9986647135503967 0.002671553352546486
3.0 0.006152787621294761 0.9984648122926445 0.0030716715128506667 0.21038123808391174 0.9984648122570493 0.003071671512849187
3.0 0.0070757057644889754 0.9982350517608335 0.0035316095822372057 0.21101830635568386 0.998235051721817 0.003531609582238805
3.0 0.008137061629162322 0.9979709935570864 0.004060276996676151 0.21174965263264167 0.9979709935149793 0.004060276996675975
3.0 0.009357620873536667 0.99766754640785 0.004667899239492001 0.21258901338180258 0.9976675463513487 0.0046678992394916284
3.0 0.010761264004567169 0.9973188724151505 0.0053662087454757375 0.21355205907436192 0.9973188723543234 0.0053662087454763654
3.0 0.012375453605252242 0.9969182805407486 0.006168662377272096 0.21465664563083375 0.9969182804772724 0.006168662377271905
3.0 0.014231771646040076 0.9964581057012221 0.007090688811839134 0.2159230921754054 0.9964581056186037 0.00709068881183834
3.0 0.01636653739294609 0.9959295720817118 0.008149969475410702 0.21737448588208608 0.9959295719969679 0.008149969475410282
3.0 0.018821518001888 0.9953226389290343 0.009366756950908425 0.21903701403480091 0.9953226388222789 0.009366756950908463
3.0 0.021644745702171196 0.9946258268698704 0.010764235033087518 0.220940322521609 0.9946258267369563 0.01076423503308607
3.0 0.024891457557496874 0.9938260233586933 0.01236892479694139 0.22311789880184085 0.9938260232278031 0.012368924796941821
3.0 0.028625176191121406 0.9929082655442543 0.014211141138123313 0.22560747589549113 0.9929082653871144 0.014211141138124009
3.0 0.03291895261978962 0.9918554987720613 0.016325504192506283 0.2284514521363501 0.9918554985839025 0.016325504192506703
3.0 0.03785679551275806 0.9906483101224579 0.018751509783582428 0.23169731932520582 0.990648309905195 0.01875150978358202
3.0 0.043535314839671754 0.9892646363117943 0.021534162501481557 0.23539808958466724 0.9892646360653301 0.021534162501481238
3.0 0.05006561206562252 0.98767944558993 0.02472467408643735 0.23961270878435154 0.9876794453089365 0.024724674086437515
3.0 0.05757545387546589 0.9858643961823872 0.02838122834960324 0.24440644208485535 0.9858643958773716 0.028381228349602907
3.0 0.06621177195678576 0.9837874727050571 0.03256981176786736 0.24985121523796067 0.9837874722947104 0.03256981176786703
3.0 0.07614353775030362 0.9814126066239804 0.037365105964200576 0.2560258941533454 0.9814126061796793 0.03736510596420161
3.0 0.08756506841284915 0.9786992880580765 0.04285143433678484 0.26301648531495053 0.9786992875861262 0.04285143433678616
3.0 0.10069982867477653 0.9756021785629299 0.04912374992006308 0.27091624128880726 0.9756021780677795 0.049123749920063846
3.0 0.11580480297599301 0.9720707421109804 0.05628864494010697 0.2798256590505363 0.9720707414698121 0.05628864494010739
3.0 0.13317552342239194 0.9680489109984074 0.06446535428042517 0.2898523641290749 0.9680489103220318 0.06446535428042476
3.0 0.15315185193575073 0.9634748154729869 0.07378671507709152 0.3011108801361195 0.9634748146004329 0.07378671507709102
3.0 0.1761246297261133 0.9582806049318144 0.08440003289809436 0.3137222901311492 0.958280603995392 0.08440003289809421
3.0 0.2025433241850303 0.9523924033662489 0.09646779159023963 0.3278138019806077 0.9523924023537045 0.09646779159024038
3.0 0.23292482281278482 0.9457304392075261 0.11016812931100971 0.343518232665295 0.9457304381104836 0.1101681293110092
3.0 0.26786354623470254 0.9382094058207202 0.12569498825568287 0.36097342477295086 0.9382094045852343 0.12569498825568265
3.0 0.3080430781699079 0.929739103344524 0.14325783131669043 0.3803216012293053 0.9297391019509391 0.14325783131669023
3.0 0.35424953989539404 0.9202254203127151 0.16308080702430527 0.4017086517924646 0.9202254186891792 0.16308080702430544
3.0 0.4073869708797031 0.9095717115881274 0.1854012367461324 0.4252833283220679 0.9095717099875797 0.18540123674613287
3.0 0.46849501651165854 0.8976806141097025 0.2104672977912641 0.4511963077112424 0.8976806121785901 0.2104672977912641
3.0 0.5387692689884073 0.8844563329800165 0.23853478548578277 0.47959906446602585 0.884456330982982 0.2385347854857822
3.0 0.6195846593366683 0.8698074088473784 0.2698628590183416 0.5106424818351256 0.8698074067183708 0.2698628590183421
3.0 0.7125223582371686 0.8536499379470233 0.3047087118341939 0.5444751229751973 0.8536499356363467 0.30470871183419423
3.0 0.8194007119727437 0.835911186272219 0.343321158354586 0.5812410827865548 0.8359111837359336 0.34332115835458676
3.0 0.9423108187686552 0.8165334984415595 0.38593319390899106 0.6210773469270416 0.816533496036601 0.3859331939089916
3.0 1.0836574415839535 0.7954783460024796 0.43275366106069 0.6641105969388755 0.7954783431958335 0.43275366106069013
2.975 0.001 0.9997469172565352 0.0004998734610755101 0.2006473836486512 0.9997469172499349 0.0004998734610755889
2.975 0.00115 0.999708968951397 0.0005748326608684448 0.20075255658824198 0.9997089689437342 0.0005748326608682886
2.975 0.0013224999999999999 0.9996653329454219 0.0006610287070701567 0.20087346954391427 0.9996653329383018 0.00066102870706986
2.975 0.0015208749999999999 0.9996151575520946 0.0007601448599781724 0.20101247197168115 0.9996151575418428 0.0007601448599788311
2.975 0.0017490062499999994 0.9995574637985729 0.0008741161387990652 0.20117226204267546 0.9995574637867901 0.0008741161387989855
