#1=α 2=ρ 3=δq 4=qh0 5=δqh 6=ρh 7=ϕ 
3.0 0.0 0.8511764900903223 1.3802595497340535 1.1748444789562802 0.0 -0.19503205684160752
3.0 0.01 0.8633764391402157 1.341393453582844 1.1582433277839264 0.011582433277839263 -0.18595649351433519
3.0 0.02 0.875912032633066 1.3028825355685232 1.141667156910626 0.02283334313821252 -0.1770768851030895
3.0 0.03 0.8888105217009961 1.264708928861302 1.1250991922172688 0.03375297576651806 -0.1683913653722715
3.0 0.04 0.9021021792162335 1.2268546360870007 1.108521875946273 0.04434087503785092 -0.15989809745935768
3.0 0.05 0.9158208811865983 1.1893011022361495 1.091916575110554 0.0545958287555277 -0.15159543325726998
3.0 0.06 0.9300045005016269 1.1520295480567766 1.0752636137358678 0.06451581682415207 -0.14348187695056447
3.0 0.07 0.9446956204678628 1.1150206796659012 1.0585420090174098 0.07409794063121869 -0.13555603524911697
3.0 0.08 0.959942365285026 1.078254464048239 1.0417292080895713 0.08333833664716571 -0.12781667773535121
3.0 0.09 0.9757992781218803 1.0417101720877322 1.024800922096088 0.09223208298864792 -0.12026275515004015
3.0 0.1 0.9923285730184745 1.005366016593013 1.007730732733202 0.10077307327332019 -0.11289334036097087
3.0 0.11 1.0096015350231926 0.9691990517095508 0.9904897777092107 0.10895387554801317 -0.1057077092899783
3.0 0.13 1.0467202341620447 0.8972974970086786 0.9553651179778264 0.12419746533711744 -0.09188583588958488
3.0 0.14 1.0667726037746257 0.8615085540118645 0.9374069004599854 0.13123696606439797 -0.08524913489135255
3.0 0.15 1.0879885112675054 0.8257871986878476 0.9191273525811418 0.13786910288717125 -0.0787953336169801
3.0 0.17 1.1345642873047315 0.7544070428597911 0.8813956257830025 0.14983725638311043 -0.06643832444804054
3.0 0.18 1.1603370024470647 0.718666786597856 0.8618185905397089 0.15512734629714758 -0.060536866964058966
3.0 0.19 1.188118956773786 0.6828292676401871 0.8416665640243604 0.15991664716462847 -0.05482191266690323
3.0 0.2 1.2182555453825452 0.6468363780261303 0.8208458428859352 0.16416916857718705 -0.04929538212225654
3.0 0.21 1.2511833154876801 0.6106193597170044 0.7992433943304502 0.16784111280939454 -0.04395976651280442
3.0 0.23 1.327843133871212 0.5371582966795927 0.7531010060537696 0.17321323139236702 -0.03387482476401221
3.0 0.24 1.3733219940753887 0.4996783368285594 0.7281613520456768 0.1747587244909624 -0.029134632837296504
3.0 0.25 1.4253093394658372 0.4614801333264797 0.7016020819556054 0.17540052048890134 -0.024604183076771757
3.0 0.26 1.4858594384983037 0.4223250130627716 0.6730111705658096 0.1749829043471105 -0.02029194195442824
