#1=α 2=ρ 3=q0 4=δq 5=qh0 6=qh1 7=δqh 8=ρh 9=m 10=ϕ 11=Σ 12=E
3.0 0.2 0.8146143631205424 0.38266551666753523 0.6649911373345798 1.113873478619798 2.6132894786973373 0.18530841931772005 3.7576603643603446 -0.05909321436278814 0.0010831307881965417 0.05938146042101882
3.0 0.2 0.814610558344637 0.3826310699603135 0.6650127016876544 1.1139522829162196 2.6135218653647487 0.18531187899792756 3.7576603643603446 -0.059093187341086706 0.0010887021596374124 0.05938291606962302
3.0 0.2 0.814610558344637 0.3826310699603135 0.6650127016876544 1.1139522829162196 2.6135218653647487 0.18531187899792756 3.7576603643603446 -0.059093187341086706 0.0010887021596374124 0.05938291606962302
3.0 0.2 0.814610558344637 0.3826310699603135 0.6650127016876544 1.1139522829162196 2.6135218653647487 0.18531187899792756 3.7576603643603446 -0.059093187341086706 0.0010887021596374124 0.05938291606962302
3.0 0.19 0.8148537826430297 0.3599145850097458 0.69883676410847 1.1861717723049559 2.7785399901125087 0.1799871036729965 3.7576603643603446 -0.06579471751117982 0.00013843450696921335 0.0658315581230356
3.0 0.19 0.8148537826430297 0.3599145850097458 0.69883676410847 1.1861717723049559 2.7785399901125087 0.1799871036729965 3.7576603643603446 -0.06579471751117982 0.00013843450696921335 0.0658315581230356
3.0 0.19 0.8148537826430297 0.3599145850097458 0.69883676410847 1.1861717723049559 2.7785399901125087 0.1799871036729965 3.7576603643603446 -0.06579471751117982 0.00013843450696921335 0.0658315581230356
3.0 0.18 0.8150765398591905 0.3384357849094153 0.733021244586775 1.2618216539972416 2.9548111246487934 0.17419658139892083 3.7576603643603446 -0.0727224914868202 -0.0007096470221840351 0.07253363806384597
3.0 0.19 0.8147632979196406 0.35911627740861407 0.6993626825418581 1.188215178749008 2.784653638852465 0.180065278068886 3.7576603643603446 -0.06579473911230282 0.00026888926685113133 0.0658662967414599
3.0 0.18 0.8150022238861223 0.3378294658112706 0.733415851444988 1.2635379474379427 2.9600839858738355 0.17425173554810636 3.7576603643603446 -0.07272254788117449 -0.0006119252696698531 0.07255970046806774

3.0 0.19 0.814781396311691 0.3593278767221135 0.6991886286282489 1.1876494427909279 2.783052880267505 0.18004077747559227 3.7576603643603446 -0.06579473622989018 0.0002216940050946253 0.06585373411250812
3.0 0.18 0.8150331517977794 0.3381067475951469 0.7332161692263528 1.2627399800790862 2.957684914762323 0.1742245701724733 3.7576603643603446 -0.07272253298116793 -0.0006639811165501589 0.07254583230783201
3.0 0.17 0.8101859675641855 0.3253837755391151 0.7634006599677985 1.34002895413321 3.0732568957383024 0.16804290273517725 3.6154473404875347 -0.07988077204105071 2.4593798896719418e-5 0.07988757446315248
3.0 0.16 0.8106213515514158 0.30847223842816485 0.7958704072870275 1.414039970115688 3.241845829777489 0.16110181246052263 3.6154473404875347 -0.0872593919231216 -0.001079824141225652 0.08696072234242179
3.0 0.15 0.8025434194004647 0.30198930279422154 0.8225160186992477 1.4939193250795846 3.31132627999522 0.15402955215530414 3.4025191375297688 -0.09486299992461611 0.0010147519405025347 0.09516123540823465
3.0 0.14 0.8030734684041291 0.28775158586545846 0.8540367373199573 1.568569353571636 3.4752725165305263 0.14616862614829654 3.4025191375297688 -0.10268824268909094 -3.430418617086192e-5 0.10267816069255123
3.0 0.13 0.8036073292992274 0.2740390975847804 0.8860606807437097 1.6466336767440026 3.649132333368149 0.137964860668544 3.4025191375297688 -0.11072582635871209 -0.000936348691442532 0.11045063358136233
3.0 0.12 0.7990317772551103 0.26676933747006926 0.9134052693855989 1.726208876506874 3.7485280455954775 0.12947325187175013 3.2844149024540954 -0.11898304966479145 0.00023699562723117777 0.11905520730451416
3.0 0.11 0.7997027675386064 0.2554395053738485 0.9442381321314728 1.8028180718276943 3.914864754652927 0.12044252063431703 3.2844149024540954 -0.12745080975001477 -0.0008720834623831157 0.1271852880396695
3.0 0.1 0.795798562227534 0.24891526498651873 0.9713413651445272 1.8834262306421934 4.017415723670574 0.11118093627295478 3.1856754462816603 -0.13613418187522153 0.0002801679505769774 0.13622212804403291
3.0 0.09 0.7965304706410244 0.23887672898397394 1.0019657843052925 1.9621892703991506 4.186273980327943 0.1014582237962184 3.1856754462816603 -0.14502729325560593 -0.0007620428553083471 0.14478808406177615
3.0 0.08 0.7931376029134688 0.2329501281911699 1.0288388687145957 2.04432876826921 4.292751864338984 0.09148475186719474 3.1011558730227256 -0.15413374728932183 0.0003563759852473102 0.15424866443629515
3.0 0.07 0.7939696734339549 0.22420753981349284 1.059139513166121 2.1237716465449807 4.460151203960834 0.08109927076469885 3.1011558730227256 -0.16344954832963599 -0.0006927451478125446 0.16322616544397106
3.0 0.06 0.7915126864622936 0.21855881080680728 1.0861363789580125 2.2061266107265 4.575425863533363 0.07044568294847452 3.036929297458857 -0.17297794915995557 5.182661403331413e-5 0.17299501462607514
4.0 0.1 0.45079638158908053 0.5909584135743433 1.0566617688108675 2.4955446764843825 1.6921664476967082 0.1548278156929357 0.1 -0.36516244629780714 0.0007162115499931232 0.3723245617977384
