
# Surface 0 of 1 surfaces

# Contour 0, label:      0.9
 0.001  1.30275  0.9 
 0.00113247  1.325  0.9 
 0.00115  1.32778  0.9 
 0.00130214  1.35  0.9 
 0.00130241  1.375  0.9 
 0.0013225  1.37774  0.9 
 0.00149776  1.4  0.9 
 0.00149783  1.425  0.9 
 0.00149794  1.45  0.9 
 0.0013225  1.47228  0.9 
 0.00130275  1.475  0.9 
 0.00130244  1.5  0.9 
 0.00115  1.52227  0.9 
 0.001  1.52233  0.9 

# Contour 1, label: 
 0.942311  1.64723  0.9 
 0.832181  1.625  0.9 
 0.819401  1.62221  0.9 
 0.723734  1.6  0.9 
 0.712522  1.59722  0.9 
 0.629288  1.575  0.9 
 0.619585  1.57222  0.9 
 0.547208  1.55  0.9 
 0.538769  1.54715  0.9 
 0.476017  1.525  0.9 
 0.468495  1.52225  0.9 
 0.413697  1.5  0.9 
 0.407387  1.49715  0.9 
 0.359938  1.475  0.9 
 0.35425  1.47221  0.9 
 0.312891  1.45  0.9 
 0.308043  1.44721  0.9 
 0.27208  1.425  0.9 
 0.267864  1.42213  0.9 
 0.236687  1.4  0.9 
 0.232925  1.39719  0.9 
 0.202543  1.39718  0.9 
 0.178928  1.375  0.9 
 0.176125  1.37212  0.9 
 0.155636  1.35  0.9 
 0.153152  1.34724  0.9 
 0.133176  1.34713  0.9 
 0.117677  1.325  0.9 
 0.115805  1.32217  0.9 
 0.1007  1.32217  0.9 
 0.0889639  1.3  0.9 
 0.0875651  1.29702  0.9 
 0.0761435  1.29699  0.9 
 0.0673351  1.275  0.9 
 0.0662118  1.2722  0.9 
 0.0575755  1.27209  0.9 
 0.0508858  1.25  0.9 
 0.0500656  1.24721  0.9 
 0.0435353  1.24703  0.9 
 0.0384914  1.225  0.9 
 0.0378568  1.22223  0.9 
 0.032919  1.22205  0.9 
 0.0286252  1.22206  0.9 
 0.0253035  1.2  0.9 
 0.0248915  1.19712  0.9 
 0.0216447  1.19724  0.9 
 0.0188215  1.1972  0.9 
 0.0166249  1.175  0.9 
 0.0163665  1.17212  0.9 
 0.0142318  1.17214  0.9 
 0.0123755  1.17204  0.9 
 0.0107613  1.17218  0.9 
 0.00935762  1.16936  0.9 
 0.00839779  1.15  0.9 
 0.00813706  1.14725  0.9 
 0.00707571  1.14722  0.9 
 0.00615279  1.14719  0.9 
 0.00535025  1.14715  0.9 
 0.00465239  1.14712  0.9 
 0.00404556  1.14709  0.9 
 0.00351788  1.14707  0.9 
 0.00305902  1.14705  0.9 
 0.00266002  1.14704  0.9 
 0.00231306  1.14728  0.9 
 0.00201136  1.14728  0.9 
 0.00174901  1.14704  0.9 
 0.00152088  1.14705  0.9 
 0.0013225  1.14707  0.9 
 0.00115  1.1471  0.9 
 0.001  1.14713  0.9 

